id,commune,province,region,latitude,longitude,osm_id
300,Bir Gandouz,Oued Ed-Dahab,Dakhla-Oued Ed-Dahab,21.835238,-16.375022,5199621
301,Bir Jdid,Nouaceur,Casablanca-Settat,33.374101,-7.995846,2806138
302,Bir Mezoui,Khouribga,Béni Mellal-Khénifra,32.850652,-6.779035,2879644
303,Bir Taleb,Sidi Kacem,Rabat-Salé-Kénitra,34.338451,-5.656693,2813791
304,Bir Tamtam,Sefrou,Fès-Meknès,33.978709,-4.644108,2808830
305,Bizdad,Essaouira,Marrakech-Safi,31.282612,-9.334649,2820936
306,Bleida,Zagora,Drâa-Tafilalet,30.252288,-6.382134,2884931
307,Bni Abdellah,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,35.040761,-4.058207,2444643
308,Bni Ahmed Charqia,Chefchaouen,Tanger-Tétouan-Al Hoceïma,34.840346,-5.070748,2563411
309,Bni Ahmed Gharbia,Chefchaouen,Tanger-Tétouan-Al Hoceïma,34.815948,-5.137235,3587342
310,Bni Ahmed Imoukzan,Taounate,Fès-Meknès,34.763138,-4.43843,2507408
311,Bni Ammart,Taounate,Fès-Meknès,34.806176,-4.204448,2507410
312,Bni Arouss,Tétouan,Tanger-Tétouan-Al Hoceïma,35.316642,-5.634221,2753080
313,Bni Ayat,Azilal,Béni Mellal-Khénifra,32.201445,-6.665729,2887214
314,Bni Bataou,Béni Mellal,Béni Mellal-Khénifra,32.887457,-6.244989,2879759
315,Bni Bouayach,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,35.103332,-3.849863,2423105
316,Bni Bouchibet,Taounate,Fès-Meknès,34.709363,-4.5041,3551667
317,Bni Boufrah,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,35.070005,-4.308529,2444642
318,Bni Bouifrou,Nador,Oriental,35.148288,-2.999824,2443009
