rang,Commune,Province,Region_std,n_cas,suggestion_referentiel,score_suggestion,cumsum_pct
557,Marinienne,Fès,Fès-Meknès,2,Ain Bida,0.444,86.32604843473125
558,Marjane,Meknès,Fès-Meknès,2,Majjate,0.714,86.3555818074424
559,B'Sabsa,Taounate,Fès-Meknès,2,El Bsabsa,0.75,86.38511518015358
560,B'sabsa,Taounate,Fès-Meknès,2,El Bsabsa,0.75,86.41464855286473
561,M'kanssa,Taounate,Fès-Meknès,2,Kissane,0.533,86.4441819255759
562,M.Bmellal,Béni Mellal,Béni Mellal-Khénifra,2,Beni Mellal,0.7,86.47371529828706
563,M kellat magouna,Tinghir,Drâa-Tafilalet,2,Kalaat M'Gouna,0.733,86.50324867099823
564,Azlaf,Driouch,Oriental,2,Tleta Azlef,0.5,86.53278204370939
565,B S jbel,Nador,Oriental,2,Bni Sidel Jbel,0.727,86.56231541642056
566,Lakmis,Tinghir,Drâa-Tafilalet,2,Tilmi,0.545,86.59184878913172
567,Lkhmis,Tinghir,Drâa-Tafilalet,2,Tilmi,0.545,86.62138216184289
568,Lkrakra,Settat,Casablanca-Settat,2,Oulad Freiha,0.316,86.65091553455404
569,B.bouayach II,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,2,Bni Bouayach,0.72,86.68044890726522
570,Igraouen,Khouribga,Béni Mellal-Khénifra,2,Mrizigue,0.5,86.70998227997637
571,Ikaouen,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,2,Imzouren,0.667,86.73951565268754
572,Bencharrou,Béni Mellal,Béni Mellal-Khénifra,2,Naour,0.533,86.7690490253987
573,Koka si Moussa,Settat,Casablanca-Settat,2,Zaouiat Sidi Ben Hamdoun,0.474,86.79858239810986
574,Kolea,Inezgane-Aït Melloul,Souss-Massa,2,Ouled Teima,0.5,86.82811577082103
575,Krakra,Settat,Casablanca-Settat,2,Rima,0.4,86.85764914353219
576,Krona,Driouch,Oriental,2,Ourdana,0.5,86.88718251624336
577,Laamoucha,Settat,Casablanca-Settat,2,Lahouaza,0.588,86.91671588895451
578,Laaouina,Azilal,Béni Mellal-Khénifra,2,Taounza,0.667,86.94624926166568
579,B.Bch,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,2,Bni Bouayach,0.471,86.97578263437684
580,B.Boufrah,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,2,Bni Boufrah,0.8,87.00531600708801
581,Khlalta,Fquih Ben Salah,Béni Mellal-Khénifra,2,Fkih Ben Salah,0.381,87.03484937979917
582,"B,Ounjel",Taounate,Fès-Meknès,2,Bouadel,0.667,87.06438275251034
583,Beni Gorfet,Larache,Tanger-Tétouan-Al Hoceïma,2,Bni Garfett,0.818,87.0939161252215
584,Isskssi,Azilal,Béni Mellal-Khénifra,2,Tisqi,0.5,87.12344949793267
585,J Melha,Sidi Kacem,Rabat-Salé-Kénitra,2,Selfat,0.462,87.15298287064383
586,Jiyarin,Taza,Fès-Meknès,2,Jbarna,0.615,87.182516243355
587,Jorf M,Sidi Kacem,Rabat-Salé-Kénitra,2,Bir Taleb,0.267,87.21204961606615
588,***,Azilal,Béni Mellal-Khénifra,2,Zaouiat Ahansal,0.0,87.24158298877732
589,Bensergao,Agadir-Ida Ou Tanane,Souss-Massa,2,Idmine,0.133,87.27111636148848
590,Bensergao,Ouarzazate,Drâa-Tafilalet,2,Amerzgane,0.444,87.30064973419965
591,tigoudar,Essaouira,Marrakech-Safi,2,Lagdadra,0.5,87.33018310691081
592,tissli,Tinghir,Drâa-Tafilalet,2,Tilmi,0.727,87.35971647962197
593,,,Fès-Meknès,2,,0.0,87.38924985233314
594,tlat boubker,Driouch,Oriental,2,Oulad Boubker,0.8,87.4187832250443
595,,Sidi Kacem,Rabat-Salé-Kénitra,1,Zirara,0.0,87.43354991139988
596,6éme BSI,Taza,Fès-Meknès,1,Msila,0.462,87.44831659775546
597,,Tiznit,Souss-Massa,1,Tnine Aglou,0.0,87.46308328411105
598,***,Taourirt,Oriental,1,Taourirt,0.0,87.47784997046662
599,,Chefchaouen,Tanger-Tétouan-Al Hoceïma,1,Tizgane,0.0,87.49261665682221
600,Boumya,Khénifra,Béni Mellal-Khénifra,1,Oum Rabia,0.533,87.50738334317779
601,Bouyafer,Nador,Oriental,1,Bouarg,0.714,87.52215002953338
602,Bozamlane,Taza,Fès-Meknès,1,Bouyablane,0.737,87.53691671588895
603,Brakt Lamine,Safi,Marrakech-Safi,1,Sebt Gzoula,0.435,87.55168340224454
