rang,Commune,Province,Region_std,n_cas,suggestion_referentiel,score_suggestion,cumsum_pct
776,Mtiwa,Chefchaouen,Tanger-Tétouan-Al Hoceïma,1,Amtar,0.6,90.1063201417602
777,Bougumez,Azilal,Béni Mellal-Khénifra,1,Taounza,0.4,90.12108682811576
778,Bouhaira,Essaouira,Marrakech-Safi,1,Essaouira,0.588,90.13585351447135
779,Bouhamza,Azilal,Béni Mellal-Khénifra,1,Taounza,0.533,90.15062020082694
780,Bouigra,Chtouka-Aït Baha,Souss-Massa,1,Tizoughrane,0.556,90.16538688718252
781,Menara,El Kelâa des Sraghna,Marrakech-Safi,1,Lamharra,0.571,90.18015357353809
782,Menara,Fquih Ben Salah,Béni Mellal-Khénifra,1,Hel Merbaa,0.5,90.19492025989368
783,Menara,Taounate,Fès-Meknès,1,Mezraoua,0.571,90.20968694624926
784,Menara,Tiznit,Souss-Massa,1,Massa,0.545,90.22445363260485
785,Menzel,Sefrou,Fès-Meknès,1,El Menzel,0.8,90.23922031896042
786,Merna,Tinghir,Drâa-Tafilalet,1,Imider,0.545,90.253987005316
787,Mesnana,Guercif,Oriental,1,Saka,0.545,90.26875369167159
788,Mestitef,Sidi Kacem,Rabat-Salé-Kénitra,1,Selfat,0.286,90.28352037802718
789,Mezdglia jorf,Sefrou,Fès-Meknès,1,El Menzel,0.364,90.29828706438275
790,Mghassyne,Meknès,Fès-Meknès,1,Mrhassiyine,0.8,90.31305375073833
791,Boukhalef,Guercif,Oriental,1,Bouchaouene,0.6,90.32782043709392
792,Boukora,Chefchaouen,Tanger-Tétouan-Al Hoceïma,1,Bni Bouzra,0.588,90.3425871234495
793,Boukorra,Chefchaouen,Tanger-Tétouan-Al Hoceïma,1,Bni Bouzra,0.556,90.35735380980508
794,Boulaajat,Taroudant,Souss-Massa,1,Ouled Aissa,0.5,90.37212049616066
795,Ben Tayeb,Nador,Oriental,1,Beni Ansar,0.526,90.38688718251625
796,My AHMED CHRIF,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,1,Bni Hadifa,0.417,90.40165386887182
797,My Abdelkader,Sidi Kacem,Rabat-Salé-Kénitra,1,Sidi Kacem,0.348,90.4164205552274
798,My Abdelkarim,Taounate,Fès-Meknès,1,Moulay Ahmed Cherif,0.5,90.43118724158299
799,My Abdelkrim,Taounate,Fès-Meknès,1,Moulay Ahmed Cherif,0.516,90.44595392793858
800,My Abdellah Chrif,Ouezzane,Tanger-Tétouan-Al Hoceïma,1,Moulay Abdelkader,0.588,90.46072061429415
801,Midar haut,Nador,Oriental,1,Bni Sidel Louta,0.4,90.47548730064973
802,Mly El Hassane,Tétouan,Tanger-Tétouan-Al Hoceïma,1,Mallalienne,0.4,90.49025398700532
803,Moujahidin,Ouezzane,Tanger-Tétouan-Al Hoceïma,1,Bou Jedyane,0.476,90.5050206733609
804,Mouklata,Tétouan,Tanger-Tétouan-Al Hoceïma,1,Oued Laou,0.471,90.51978735971647
805,Moulay Bouchebla,Taounate,Fès-Meknès,1,Moulay Ahmed Cherif,0.571,90.53455404607206
806,Moulay Driss,Meknès,Fès-Meknès,1,Moulay Idriss Zarhoun,0.727,90.54932073242765
807,Hay Mohammadi,Béni Mellal,Béni Mellal-Khénifra,1,Sidi Hammadi,0.64,90.56408741878323
808,Hay Salam,Meknès,Fès-Meknès,1,Ait Yaazem,0.526,90.5788541051388
809,Hay Sidi Daoud,Inezgane-Aït Melloul,Souss-Massa,1,Oulad Dahou,0.56,90.59362079149439
810,Hay Taslouine,Agadir-Ida Ou Tanane,Souss-Massa,1,Imsouane,0.476,90.60838747784997
811,Hay eljadid,Larache,Tanger-Tétouan-Al Hoceïma,1,Bahhara Oulad Ayad,0.483,90.62315416420556
812,Hay elyasmine,Sidi Kacem,Rabat-Salé-Kénitra,1,Chbanate,0.286,90.63792085056113
813,Hay hassani,Al Haouz,Marrakech-Safi,1,Assaki,0.588,90.65268753691672
814,Hay khatabi rue 4 n°32,Nador,Oriental,1,Hassi Berkane,0.353,90.6674542232723
815,Hdida,Tinghir,Drâa-Tafilalet,1,Tinejdad,0.462,90.68222090962787
816,Hed Mssila,Taza,Fès-Meknès,1,Msila,0.667,90.69698759598346
817,Hey Mohammadi,Béni Mellal,Béni Mellal-Khénifra,1,Sidi Hammadi,0.64,90.71175428233904
818,Hidar,Driouch,Oriental,1,Midar,0.8,90.72652096869463
819,Hk,Sidi Kacem,Rabat-Salé-Kénitra,1,Tekna,0.286,90.7412876550502
820,Hkmiss,Tinghir,Drâa-Tafilalet,1,M'Ssici,0.462,90.75605434140579
821,Gzenaya,Tinghir,Drâa-Tafilalet,1,Kalaat M'Gouna,0.286,90.77082102776137
822,Boujdian,Larache,Tanger-Tétouan-Al Hoceïma,1,Souaken,0.533,90.78558771411696
823,Od Brhil,Taroudant,Souss-Massa,1,Oulad Berhil,0.8,90.80035440047253
824,My Abdlkrim,Taounate,Fès-Meknès,1,Moulay Ahmed Cherif,0.467,90.81512108682811
825,My BRAHIM,Al Haouz,Marrakech-Safi,1,Moulay Brahim,0.818,90.8298877731837
826,My Bouaazza,Khénifra,Béni Mellal-Khénifra,1,Ouaoumana,0.5,90.84465445953929
827,My Dris,Meknès,Fès-Meknès,1,Moulay Idriss Zarhoun,0.5,90.85942114589486
828,My Driss,Meknès,Fès-Meknès,1,Moulay Idriss Zarhoun,0.552,90.87418783225044
829,My El Hassan,Tétouan,Tanger-Tétouan-Al Hoceïma,1,Bni Arouss,0.364,90.88895451860603
830,My abdellah cherif,Ouezzane,Tanger-Tétouan-Al Hoceïma,1,Moulay Abdelkader,0.629,90.90372120496161
831,My driss,Meknès,Fès-Meknès,1,Moulay Idriss Zarhoun,0.552,90.91848789131718
832,My youssef,Meknès,Fès-Meknès,1,Ouislane,0.444,90.93325457767277
833,Mzioukat Chiadma,Essaouira,Marrakech-Safi,1,Zaouiat Ben Hmida,0.545,90.94802126402836
834,Mzlat,Tiznit,Souss-Massa,1,Massa,0.4,90.96278795038394
835,Médina,Meknès,Fès-Meknès,1,Oued Jdida,0.5,90.97755463673951
836,Médina,Safi,Marrakech-Safi,1,Loualidia,0.4,90.9923213230951
837,Boujarrah,Tétouan,Tanger-Tétouan-Al Hoceïma,1,Bni Karrich,0.5,91.00708800945068
838,Hay Maurice,Inezgane-Aït Melloul,Souss-Massa,1,Ait Melloul,0.364,91.02185469580625
839,Od Sghair,Settat,Casablanca-Settat,1,Oulad Sghir,0.8,91.03662138216184
840,Od Teima,Taroudant,Souss-Massa,1,Oulad Berhil,0.5,91.05138806851743
841,Amsernat,Agadir-Ida Ou Tanane,Souss-Massa,1,Tamri,0.462,91.06615475487301
842,"N 222,Hay Alfalah",Chtouka-Aït Baha,Souss-Massa,1,Ait Abdellah,0.483,91.08092144122858
843,Nkheila,Settat,Casablanca-Settat,1,Mniaa,0.5,91.09568812758417
844,N°114 H Biranzarane,Taroudant,Souss-Massa,1,Tinzart,0.4,91.11045481393975
845,"N°20, Rue 958,Hay Salam",Agadir-Ida Ou Tanane,Souss-Massa,1,Ait Aissi Ihahane,0.256,91.12522150029534
846,"N°39,Akniss",Taroudant,Souss-Massa,1,Lakhnafif,0.421,91.13998818665091
847,"N°80,Lot Almostakbal,Bloc3",Inezgane-Aït Melloul,Souss-Massa,1,Ait Melloul,0.167,91.1547548730065
848,O Akalay,Taroudant,Souss-Massa,1,Oualqadi,0.5,91.16952155936208
849,O S B,Al Haouz,Marrakech-Safi,1,Sidi Badhaj,0.375,91.18428824571767
850,"O, Daoud",Taounate,Fès-Meknès,1,Oulad Daoud,0.737,91.19905493207324
851,Od Amghar,Nador,Oriental,1,Beni Ansar,0.421,91.21382161842882
852,Od Belahcen,Larache,Tanger-Tétouan-Al Hoceïma,1,Souaken,0.444,91.22858830478441
853,Od Belhcen,Larache,Tanger-Tétouan-Al Hoceïma,1,Moulay Bousselham,0.444,91.24335499114
854,Od Bouchour,Settat,Casablanca-Settat,1,Oulad Abbou,0.545,91.25812167749557
855,Had msila,Taza,Fès-Meknès,1,Msila,0.714,91.27288836385115
856,Hal Merbea,Fquih Ben Salah,Béni Mellal-Khénifra,1,Hel Merbaa,0.8,91.28765505020674
857,Hamd,Tinghir,Drâa-Tafilalet,1,Imider,0.4,91.30242173656231
858,Hamria,Taounate,Fès-Meknès,1,Zarkat,0.5,91.3171884229179
859,Hana,El Kelâa des Sraghna,Marrakech-Safi,1,Hiadna,0.8,91.33195510927348
860,Haouara,Taza,Fès-Meknès,1,Maghraoua,0.625,91.34672179562907
861,Haoura,Guercif,Oriental,1,Bouchaouene,0.471,91.36148848198464
862,Hay Alfarah Im 14 N°5,Agadir-Ida Ou Tanane,Souss-Massa,1,Ait Aissi Ihahane,0.216,91.37625516834022
863,Hay Jadid,Sidi Kacem,Rabat-Salé-Kénitra,1,Ain Jemaa,0.444,91.39102185469581
864,Foum Anseur,Béni Mellal,Béni Mellal-Khénifra,1,Foum El Anceur,0.8,91.4057885410514
865,Od Illoul,Béni Mellal,Béni Mellal-Khénifra,1,Timoulilt,0.444,91.42055522740696
866,Od Kasaba,Taounate,Fès-Meknès,1,Oudka,0.571,91.43532191376255
867,Od Malrk,Sidi Kacem,Rabat-Salé-Kénitra,1,Oulad Nouel,0.421,91.45008860011814
868,Od Mbarek,Béni Mellal,Béni Mellal-Khénifra,1,Oulad M'Barek,0.818,91.46485528647372
869,Od Noual,Sidi Kacem,Rabat-Salé-Kénitra,1,Oulad Nouel,0.737,91.47962197282929
870,Od Rahou Benaissa,Nador,Oriental,1,Beni Ansar,0.444,91.49438865918488
871,Oulaayoune,Essaouira,Marrakech-Safi,1,Moulay Bouzarqtoune,0.621,91.50915534554046
872,Oulad Jerrar,Tiznit,Souss-Massa,1,Ait Erkha,0.476,91.52392203189605
873,Anamer,Taroudant,Souss-Massa,1,Argana,0.5,91.53868871825162
874,Aolos,Taroudant,Souss-Massa,1,Aoulouz,0.667,91.5534554046072
875,Aruit,Nador,Oriental,1,Al Aroui,0.615,91.56822209096279
876,As jbel oulia,Tinghir,Drâa-Tafilalet,1,Ferkla El Oulia,0.714,91.58298877731836
877,As s Gharbia,Tinghir,Drâa-Tafilalet,1,Ait Sedrate Sahl El Gharbia,0.564,91.59775546367395
878,Old Ayad,Béni Mellal,Béni Mellal-Khénifra,1,Ouled Yaïch,0.632,91.61252215002953
879,Old Bader,Ouezzane,Tanger-Tétouan-Al Hoceïma,1,Moulay Abdelkader,0.538,91.62728883638512
880,Ouaadia,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,1,Rouadi,0.769,91.64205552274069
881,Ouad Almakhazine,Kénitra,Rabat-Salé-Kénitra,1,Oulad Slama,0.593,91.65682220909628
882,Od Ghalem,Settat,Casablanca-Settat,1,Toualet,0.5,91.67158889545186
883,H.Mohamadi,Béni Mellal,Béni Mellal-Khénifra,1,Sidi Hammadi,0.545,91.68635558180745
884,H.Mohmadi,Béni Mellal,Béni Mellal-Khénifra,1,Sidi Hammadi,0.571,91.70112226816302
885,Hachane,Essaouira,Marrakech-Safi,1,El Hanchane,0.778,91.7158889545186
886,Had Sidi Abdellah,Rehamna,Marrakech-Safi,1,Sidi Abdallah,0.8,91.73065564087419
887,Ouled Jirar,Tiznit,Souss-Massa,1,Ouijjane,0.316,91.74542232722978
888,Ouled aarfa,Taroudant,Souss-Massa,1,Ouled Aissa,0.727,91.76018901358535
889,Ouled jameâ,Moulay Yacoub,Fès-Meknès,1,Oulad Mimoun,0.522,91.77495569994093
890,Oulkadi,Al Haouz,Marrakech-Safi,1,Ourika,0.615,91.78972238629652
891,Oum Rabii,Meknès,Fès-Meknès,1,Oualili,0.625,91.8044890726521
892,Oum Rbie,Meknès,Fès-Meknès,1,Ouislane,0.5,91.81925575900767
893,Ouad elabid,Azilal,Béni Mellal-Khénifra,1,Ouaoula,0.556,91.83402244536326
894,Ouadelabid,Azilal,Béni Mellal-Khénifra,1,Ouaoula,0.588,91.84878913171885
895,Ouald Rahou,Guercif,Oriental,1,Houara Oulad Raho,0.714,91.86355581807443
896,Ouaouizert,Azilal,Béni Mellal-Khénifra,1,Ouaoula,0.588,91.87832250443
897,Oued Lahmer,Taza,Fès-Meknès,1,Oued Amlil,0.571,91.89308919078559
898,Oued kasaba,Taounate,Fès-Meknès,1,Oued Jemaa,0.667,91.90785587714117
899,Oued kassaba,Taounate,Fès-Meknès,1,Oued Jemaa,0.636,91.92262256349674
900,Oued laabid,Azilal,Béni Mellal-Khénifra,1,Agoudi N'Lkhair,0.538,91.93738924985233
901,Oughroud,Tinghir,Drâa-Tafilalet,1,Bou Azmou,0.471,91.95215593620792
902,Ouidane,El Kelâa des Sraghna,Marrakech-Safi,1,Taouzint,0.533,91.9669226225635
903,Pres de lecole 6 novombre,Fès,Fès-Meknès,1,Sidi Hrazem,0.167,91.98168930891907
904,Q-Industriel,Agadir-Ida Ou Tanane,Souss-Massa,1,Aqesri,0.444,91.99645599527466
905,QUARTIER NAJMA RUE Espagne,Tanger-Assilah,Tanger-Tétouan-Al Hoceïma,1,Al Bahraoyine,0.256,92.01122268163024
906,Quartier Benkirane,Béni Mellal,Béni Mellal-Khénifra,1,Bni Zrantel,0.414,92.02598936798583
907,Quolla,Larache,Tanger-Tétouan-Al Hoceïma,1,Souk Tolba,0.5,92.0407560543414
908,R kheir,Sefrou,Fès-Meknès,1,Kandar Sidi Khiar,0.5,92.05552274069699
909,"R,Kheir",Sefrou,Fès-Meknès,1,Kandar Sidi Khiar,0.417,92.07028942705257
910,Ras Aghil,Meknès,Fès-Meknès,1,Ras Ijerri,0.526,92.08505611340816
911,Ras Aghil,Sidi Kacem,Rabat-Salé-Kénitra,1,Taoughilt,0.556,92.09982279976373
912,Oulad Tahar,Taounate,Fès-Meknès,1,Oulad Daoud,0.636,92.11458948611931
913,Oulad allal,Meknès,Fès-Meknès,1,Ait Ouallal,0.636,92.1293561724749
914,Oulad-Boundar,Taounate,Fès-Meknès,1,Oulad Daoud,0.75,92.14412285883049
915,"Oulad-Kadour,",Taounate,Fès-Meknès,1,Oulad Daoud,0.75,92.15888954518606
916,Oulad-Taher,Taounate,Fès-Meknès,1,Oulad Daoud,0.636,92.17365623154164
917,Ouled Hammou,Fquih Ben Salah,Béni Mellal-Khénifra,1,Ouled Bourahmoune,0.69,92.18842291789723
918,Ouled Jarrar,Tiznit,Souss-Massa,1,Ouijjane,0.4,92.2031896042528
919,Foum anseur,Béni Mellal,Béni Mellal-Khénifra,1,Foum El Anceur,0.8,92.21795629060838
920,Fraoua,Sidi Kacem,Rabat-Salé-Kénitra,1,Zirara,0.5,92.23272297696397
921,Fès médina,Fès,Fès-Meknès,1,Fès,0.462,92.24748966331956
922,GALAZ Centre,Taounate,Fès-Meknès,1,Galaz,0.588,92.26225634967513
923,Ghafsey,Taounate,Fès-Meknès,1,Ghafsai,0.714,92.27702303603071
924,Ghiyata gharb,Taza,Fès-Meknès,1,Ghiata Al Gharbia,0.8,92.2917897223863
925,Gourziana,Taounate,Fès-Meknès,1,Ourtzagh,0.588,92.30655640874188
926,Gueldaman,Taza,Fès-Meknès,1,Galdamane,0.778,92.32132309509745
927,Guèliz,Al Haouz,Marrakech-Safi,1,Iguidi,0.5,92.33608978145304
928,Guéliz,Al Haouz,Marrakech-Safi,1,Iguidi,0.5,92.35085646780863
929,Guéliz,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,1,Targuist,0.429,92.36562315416421
930,Guéliz,Taza,Fès-Meknès,1,Oued Amlil,0.5,92.38038984051978
931,Fahs anjra,Fahs-Anjra,Tanger-Tétouan-Al Hoceïma,1,Anjra,0.667,92.39515652687537
932,Ourbâa,Béni Mellal,Béni Mellal-Khénifra,1,Afourar,0.615,92.40992321323095
933,Ouriaa,Béni Mellal,Béni Mellal-Khénifra,1,Afourar,0.615,92.42468989958654
934,Ousikiss,Tinghir,Drâa-Tafilalet,1,Ouaklim,0.4,92.43945658594211
935,S H O hamdtidzi,Essaouira,Marrakech-Safi,1,Sidi H'Mad Ou Hamed,0.588,92.4542232722977
936,S Y B A,Al Haouz,Marrakech-Safi,1,Sidi Badhaj,0.444,92.46898995865328
937,"S,A,Benaissa",Sidi Kacem,Rabat-Salé-Kénitra,1,Mkansa,0.444,92.48375664500885
938,"S,A,Chrif",Sidi Kacem,Rabat-Salé-Kénitra,1,Taoughilt,0.333,92.49852333136444
939,Ras brouj,Settat,Casablanca-Settat,1,Machraa Ben Abbou,0.462,92.51329001772002
940,Rbat El khier,Sefrou,Fès-Meknès,1,Dar El Hamra,0.56,92.52805670407561
941,Remla,Larache,Tanger-Tétouan-Al Hoceïma,1,Khemis Sahel,0.353,92.54282339043118
942,Retba,Taounate,Fès-Meknès,1,Ratba,0.8,92.55759007678677
943,Riad Kostani,Meknès,Fès-Meknès,1,Dar Oum Soltane,0.519,92.57235676314235
944,Ribat El Kheir,Sefrou,Fès-Meknès,1,Dar El Hamra,0.538,92.58712344949794
945,Ribat El kheir,Sefrou,Fès-Meknès,1,Dar El Hamra,0.538,92.60189013585351
946,Albassatine,Meknès,Fès-Meknès,1,Mrhassiyine,0.545,92.6166568222091
947,Alhouda Bloc B N° 545,Agadir-Ida Ou Tanane,Souss-Massa,1,Ida Ou Kazzou,0.303,92.63142350856468
948,Alqods,Taza,Fès-Meknès,1,Galdamane,0.4,92.64619019492027
949,Alquds,Agadir-Ida Ou Tanane,Souss-Massa,1,Aqesri,0.5,92.66095688127584
950,Alquods,Taza,Fès-Meknès,1,Galdamane,0.375,92.67572356763142
951,B.sidel,Nador,Oriental,1,Bni Sidel Jbel,0.571,92.69049025398701
952,B.sidel jbal,Nador,Oriental,1,Bni Sidel Jbel,0.769,92.7052569403426
953,B/jbel,Nador,Oriental,1,Bni Sidel Jbel,0.6,92.72002362669816
954,BEN Maraaz,Meknès,Fès-Meknès,1,Aïn Orma,0.444,92.73479031305375
955,Bab Mrouje,Taza,Fès-Meknès,1,Bab Marzouka,0.727,92.74955699940934
956,Bab ramla,Taza,Fès-Meknès,1,Bab Marzouka,0.571,92.76432368576492
957,Bab tété,Ouarzazate,Drâa-Tafilalet,1,Télouet,0.4,92.77909037212049
958,Bab wandar,Taounate,Fès-Meknès,1,Jbabra,0.5,92.79385705847608
959,El bahri,Nador,Oriental,1,Al Aroui,0.625,92.80862374483166
960,Amallal,Chefchaouen,Tanger-Tétouan-Al Hoceïma,1,Amtar,0.5,92.82339043118724
961,Amdnagh,Tinghir,Drâa-Tafilalet,1,Tinghir,0.429,92.83815711754282
962,Amkhlij,Al Haouz,Marrakech-Safi,1,Assaki,0.462,92.8529238038984
963,Rue 309 Hay Moulay Rachid,Taroudant,Souss-Massa,1,Oulad Berhil,0.432,92.86769049025399
964,"Rue 516,Masdoura Inzgane",Inezgane-Aït Melloul,Souss-Massa,1,Inezgane,0.438,92.88245717660956
965,S / K,Sidi Kacem,Rabat-Salé-Kénitra,1,Sidi Kacem,0.462,92.89722386296515
966,S A El Hadi,Sidi Kacem,Rabat-Salé-Kénitra,1,Selfat,0.471,92.91199054932073
967,Sabati,Fès,Fès-Meknès,1,Louadaine,0.4,92.92675723567632
968,"S,A,Ouhamed",Essaouira,Marrakech-Safi,1,Sidi H'Mad Ou Hamed,0.6,92.94152392203189
969,"S,Abder",Taounate,Fès-Meknès,1,Jbabra,0.462,92.95629060838748
970,S.A.Elhadi,Sidi Kacem,Rabat-Salé-Kénitra,1,Selfat,0.5,92.97105729474306
971,S.A.S,Essaouira,Marrakech-Safi,1,Meskala,0.333,92.98582398109865
972,S.Abderhma,Taounate,Fès-Meknès,1,Jbabra,0.5,93.00059066745422
973,S.H. M'ed,Taounate,Fès-Meknès,1,Sidi Haj M’hamed,0.5,93.0153573538098
974,S.H.M'd,Taounate,Fès-Meknès,1,Ras El Oued,0.333,93.03012404016539
975,S.Sebt,Béni Mellal,Béni Mellal-Khénifra,1,Semguet,0.462,93.04489072652098
976,S/Abdelah Cherif,Ouezzane,Tanger-Tétouan-Al Hoceïma,1,Sidi Ahmed Cherif,0.667,93.05965741287655
977,S;Mokhfi,Taounate,Fès-Meknès,1,Sidi El Mokhfi,0.636,93.07442409923213
978,Bojediane,Larache,Tanger-Tétouan-Al Hoceïma,1,Sidi Lyamani,0.381,93.08919078558772
979,Alwafae,Larache,Tanger-Tétouan-Al Hoceïma,1,Larache,0.429,93.10395747194329
980,Far,Tinghir,Drâa-Tafilalet,1,Aït Elfarsi,0.429,93.11872415829887
981,Fes medina,Fès,Fès-Meknès,1,Fès,0.462,93.13349084465446
982,Fokra,Settat,Casablanca-Settat,1,Mzoura,0.545,93.14825753101005
983,Samsa,Tétouan,Tanger-Tétouan-Al Hoceïma,1,Saddina,0.5,93.16302421736562
984,Sanit Rmel,Tétouan,Tanger-Tétouan-Al Hoceïma,1,Sahtryine,0.421,93.1777909037212
985,Sarsar,Larache,Tanger-Tétouan-Al Hoceïma,1,Ksar Bjir,0.533,93.19255759007679
986,Bolaajlat,Taroudant,Souss-Massa,1,Lamhara,0.5,93.20732427643237
987,Borj Mechkouk,Taounate,Fès-Meknès,1,Bouhouda,0.476,93.22209096278795
988,Bouallou,Taounate,Fès-Meknès,1,Bouarouss,0.706,93.23685764914353
989,Bouaziar,Azilal,Béni Mellal-Khénifra,1,Azilal,0.571,93.25162433549912
990,Bouazoune,Taounate,Fès-Meknès,1,Ouaouzgane,0.737,93.2663910218547
991,Boubaan,Nador,Oriental,1,Bouarg,0.615,93.28115770821027
992,Boubria,Berkane,Oriental,1,Boughriba,0.75,93.29592439456586
993,Bouchamate,Taounate,Fès-Meknès,1,Bouadel,0.588,93.31069108092144
994,Bouchibat,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,1,Boudinar,0.588,93.32545776727703
995,Bouderbala,Sefrou,Fès-Meknès,1,Imouzzer Kandar,0.48,93.3402244536326
996,Bouezgar,Essaouira,Marrakech-Safi,1,Bouzemmour,0.556,93.35499113998819
997,Bougaala,Guelmim,Guelmim-Oued Noun,1,Bouizakarne,0.526,93.36975782634377
998,SI sidi yahya,Sidi Slimane,Rabat-Salé-Kénitra,1,Sidi Al Kamel,0.538,93.38452451269934
999,Sebt lgardane,Taroudant,Souss-Massa,1,El Guerdane,0.667,93.39929119905493
1000,Sekour,Boulemane,Fès-Meknès,1,Missour,0.615,93.41405788541051
1001,Sidi Abdellah Rhamna,Settat,Casablanca-Settat,1,Sidi Abdelkhaleq,0.667,93.4288245717661
1002,Sidi Ahmed Tadli,Sefrou,Fès-Meknès,1,Sidi Youssef Ben Ahmed,0.526,93.44359125812167
1003,Sahrij,Azilal,Béni Mellal-Khénifra,1,Aït Majden,0.375,93.45835794447726
1004,Ait s jbel,Tinghir,Drâa-Tafilalet,1,Ait Sedrate Jbel El Oulia,0.571,93.47312463083284
1005,Ait sedrat jbel,Tinghir,Drâa-Tafilalet,1,Ait Sedrate Jbel El Oulia,0.75,93.48789131718843
1006,Ait youl kalaa,Tinghir,Drâa-Tafilalet,1,Ait Youl,0.727,93.502658003544
1007,Aity wassif,Tinghir,Drâa-Tafilalet,1,Ait Ouassif,0.818,93.51742468989958
1008,Akch hsiya,Tinghir,Drâa-Tafilalet,1,Aït Hani,0.444,93.53219137625517
1009,Akdim,Tinghir,Drâa-Tafilalet,1,Ouaklim,0.667,93.54695806261076
1010,Al Boustane,Meknès,Fès-Meknès,1,Dar Oum Soltane,0.692,93.56172474896633
1011,Al Wahda,Taza,Fès-Meknès,1,Outat El Haj,0.4,93.57649143532191
1012,Al masjid,Nador,Oriental,1,Al Aroui,0.588,93.5912581216775
1013,Al qods,Nador,Oriental,1,Al Aroui,0.533,93.60602480803308
1014,Al qods,Taza,Fès-Meknès,1,Bab Boudir,0.471,93.62079149438865
1015,Sidi Driss,El Kelâa des Sraghna,Marrakech-Safi,1,Sidi Moussa,0.667,93.63555818074424
1016,Sidi Ghayat,Al Haouz,Marrakech-Safi,1,Sidi Badhaj,0.636,93.65032486709983
1017,Sidi Khyar,Sefrou,Fès-Meknès,1,Kandar Sidi Khiar,0.667,93.66509155345541
1018,Sidi Mbraek,Sidi Ifni,Guelmim-Oued Noun,1,Sidi M'Bark,0.818,93.67985823981098
1019,Sidi Yahia,Taounate,Fès-Meknès,1,Sidi El Mokhfi,0.583,93.69462492616657
1020,Sidi Yahya,Sidi Slimane,Rabat-Salé-Kénitra,1,Sidi Al Kamel,0.609,93.70939161252215
1021,Sidi ahmed Tadeli,Sefrou,Fès-Meknès,1,Sidi Youssef Ben Ahmed,0.513,93.72415829887773
1022,Sidi boujida,Fès,Fès-Meknès,1,Ain Bida,0.6,93.73892498523331
1023,Sidi ghiate,Al Haouz,Marrakech-Safi,1,Ghmate,0.588,93.7536916715889
1024,Sidi khyar,Sefrou,Fès-Meknès,1,Kandar Sidi Khiar,0.667,93.76845835794448
1025,Sas,Essaouira,Marrakech-Safi,1,Meskala,0.4,93.78322504430005
1026,Sbt Lagfifat,Taroudant,Souss-Massa,1,Lakhnafif,0.476,93.79799173065564
1027,Sebt,Taroudant,Souss-Massa,1,Sidi Borja,0.286,93.81275841701122
1028,Sebt Bni Guerfet,Larache,Tanger-Tétouan-Al Hoceïma,1,Bni Garfett,0.667,93.82752510336681
1029,Sebt Kdim,Tétouan,Tanger-Tétouan-Al Hoceïma,1,Bni Karrich,0.4,93.84229178972238
1030,Sebt Lagfifat,Taroudant,Souss-Massa,1,Lakhnafif,0.455,93.85705847607797
1031,Elhajeb II,El Hajeb,Fès-Meknès,1,El Hajeb,0.778,93.87182516243355
1032,Elkodia,Taroudant,Souss-Massa,1,El Koudia El Beida,0.56,93.88659184878914
1033,Eloualja,Taounate,Fès-Meknès,1,Khlalfa,0.533,93.90135853514471
1034,Elqods,Guelmim,Guelmim-Oued Noun,1,Guelmim,0.308,93.9161252215003
1035,Elwafae,Larache,Tanger-Tétouan-Al Hoceïma,1,Larache,0.143,93.93089190785588
1036,Ennakhil,Chichaoua,Marrakech-Safi,1,Ahdil,0.615,93.94565859421147
1037,Ennakhil,Ouarzazate,Drâa-Tafilalet,1,Taznakht,0.5,93.96042528056704
1038,Ess ville,Essaouira,Marrakech-Safi,1,Essaouira,0.444,93.97519196692262
1039,F.B.Salah,Fquih Ben Salah,Béni Mellal-Khénifra,1,Fkih Ben Salah,0.609,93.98995865327821
1040,Fahs Anjra,Fahs-Anjra,Tanger-Tétouan-Al Hoceïma,1,Anjra,0.667,94.00472533963378
1041,Douar dar lakhchab,Moulay Yacoub,Fès-Meknès,1,Bouchabel,0.444,94.01949202598936
1042,Sidi Ali ben brahim,Azilal,Béni Mellal-Khénifra,1,Moulay Aissa Ben Driss,0.488,94.03425871234495
1043,Sidi Amar L'Hadi,Larache,Tanger-Tétouan-Al Hoceïma,1,Sidi Lyamani,0.643,94.04902539870054
1044,Sidi Amer,Meknès,Fès-Meknès,1,Nzala Bni Ammar,0.417,94.06379208505611
1045,Sidi Amer Hadi,Sidi Kacem,Rabat-Salé-Kénitra,1,Sidi Kacem,0.583,94.07855877141169
1046,Sidi Brahim,Fès,Fès-Meknès,1,Sidi Hrazem,0.727,94.09332545776728
1047,Ait kassi ouali,Tinghir,Drâa-Tafilalet,1,Ait Ouassif,0.615,94.10809214412286
1048,Sidi ouabdellah,Taroudant,Souss-Massa,1,Sidi Ahmed Ou Abdellah,0.811,94.12285883047844
1049,Sidi-Yahia,Taounate,Fès-Meknès,1,Sidi El Mokhfi,0.583,94.13762551683402
1050,Sidi-Yahia Ben,Taounate,Fès-Meknès,1,Sidi Yahya Bni Zeroual,0.667,94.1523922031896
1051,SidiAhmed Tadli,Sefrou,Fès-Meknès,1,Sidi Youssef Ben Ahmed,0.486,94.16715888954519
1052,Smd,Chichaoua,Marrakech-Safi,1,Saidate,0.4,94.18192557590076
