MAE,RMSE,R2,n,annee,source_climat
202.46877107266965,400.42757772229805,0.0193775865534969,12,2021,mesure_era5
125.3752701790283,169.177134504127,0.3808360077495291,12,2023,climatologie_extrapolee
183.6107010248677,284.9835142884151,-0.0174182605731456,12,2024,climatologie_extrapolee
