province,classe_altitude,classe_altitude_rank,elevation_m,temp_moy_an,precip_totale_an,total_cas,statut_vecteur,zone_bioclim
Tata,Moyenne montagne,2,1077.484,19.710261538461538,155.8288923076923,4,indice_indirect,2
Béni Mellal,Moyenne montagne,2,1105.040625,16.11178485576923,553.7383173076923,1014,non_documente,1
Figuig,Moyenne montagne,2,1108.1833333333334,18.722489316239315,132.46307692307693,0,non_documente,2
Errachidia,Moyenne montagne,2,1138.48125,19.902506009615387,109.895,27,indice_indirect,2
Khénifra,Haute montagne,3,1330.2620689655173,14.281774977895669,611.8599204244032,11,non_documente,1
Ifrane,Haute montagne,3,1421.4,13.06641826923077,717.8834615384615,3,non_documente,1
Ouarzazate,Haute montagne,3,1436.5260869565216,17.57716276477146,169.95899665551838,931,confirme,1
Azilal,Haute montagne,3,1457.07,13.894692307692308,604.2851025641025,4649,confirme,1
Boulemane,Haute montagne,3,1498.464705882353,13.72973604826546,441.1419457013575,263,confirme,1
Al Haouz,Haute montagne,3,1515.0238095238096,14.416253052503052,430.1911172161172,712,confirme,1
Midelt,Haute montagne,3,1690.0277777777778,14.203454415954416,366.10217948717946,2,non_documente,1
Tinghir,Haute montagne,3,1730.664516129032,15.716650124069478,206.82305210918116,2576,confirme,1
Guigou,Haute montagne,3,1771.8,12.13147435897436,511.39051282051287,0,non_documente,1
