prov_key,province,region,n_communes,lat,lon,lct_cases,y_epi,lct_rate,y_ento_hard,y_ento_soft,temp_z,precip_z,arid_z,lat_z
khemisset,Khemisset,Rabat-Salé-Kénitra,27,33.72857848148148,-6.138607444444444,15,1,0.5555555555555556,1,0,0.0,0.0,0.0,0.5157477682903272
khenifra,Khénifra,Béni Mellal-Khénifra,29,32.81258686206897,-5.629422206896551,11,1,0.3793103448275862,0,0,0.0,0.0,0.0,0.17899253135792972
khouribga,Khouribga,Béni Mellal-Khénifra,37,32.927266405405405,-6.853967297297297,0,0,0.0,0,0,0.0,0.0,0.0,0.22115332843195729
laayoune,Laâyoune,Laâyoune-Sakia El Hamra,5,26.9518142,-13.116914,0,0,0.0,0,0,0.0,0.0,0.0,-1.975662429009277
larache,Larache,Tanger-Tétouan-Al Hoceïma,24,35.09619775,-6.0102048749999994,193,1,8.041666666666666,0,1,0.0,0.0,0.0,1.018539432583777
m'diq-fnideq,M'diq-Fnideq,Tanger-Tétouan-Al Hoceïma,4,35.83012375,-5.36360025,4,1,1.0,0,0,0.0,0.0,0.0,1.2883600496974608
marrakech,Marrakech,Marrakech-Safi,26,31.65903496153846,-7.910879115384616,8,1,0.3076923076923077,1,0,0.0,0.0,0.0,-0.24509938754643665
mediouna,Médiouna,Casablanca-Settat,1,33.644338,-7.458642,0,0,0.0,0,0,0.0,0.0,0.0,0.4847775905077076
meknes,Meknès,Fès-Meknès,20,33.8863024,-5.559566,100,1,5.0,0,1,0.0,0.0,0.0,0.5737334031203452
midelt,Midelt,Drâa-Tafilalet,18,32.60154227777778,-4.702345222222222,1,1,0.05555555555555555,0,0,0.0,0.0,0.0,0.10140408242445521
mohammedia,Mohammedia,Casablanca-Settat,7,33.635765285714285,-7.348989857142857,0,0,0.0,0,0,0.0,0.0,0.0,0.48162591709797664
moulay yacoub,Moulay Yacoub,Fès-Meknès,19,34.21787110526316,-5.207205947368421,320,1,16.842105263157894,0,1,0.0,0.0,0.0,0.6956313501472812
nador,Nador,Oriental,18,35.09963222222222,-2.953555611111111,227,1,12.61111111111111,0,1,0.0,0.0,0.0,1.0198020822439042
nouaceur,Nouaceur,Casablanca-Settat,14,33.40474114285714,-7.768628,0,0,0.0,0,0,0.0,0.0,0.0,0.3966921815526017
ouarzazate,Ouarzazate,Drâa-Tafilalet,23,30.796022608695655,-6.906213217391304,948,1,41.21739130434783,1,0,0.0,0.0,0.0,-0.5623773224074156
oued ed-dahab,Oued Ed-Dahab,Dakhla-Oued Ed-Dahab,5,23.2185442,-15.611058,0,0,0.0,0,0,0.0,0.0,0.0,-3.3481621295949036
ouezzane,Ouezzane,Tanger-Tétouan-Al Hoceïma,31,34.74358858064516,-5.580964322580646,746,1,24.06451612903226,0,1,0.0,0.0,0.0,0.8889061675471557
oujda-angad,Oujda-Angad,Oriental,10,34.6629273,-1.9401392000000002,0,0,0.0,0,0,0.0,0.0,0.0,0.8592518474646718
rabat,Rabat,Rabat-Salé-Kénitra,2,33.9866145,-6.840221,0,0,0.0,0,0,0.0,0.0,0.0,0.6106121521031727
rehamna,Rehamna,Marrakech-Safi,15,32.39084726666667,-8.0485468,17,1,1.1333333333333333,0,0,0.0,0.0,0.0,0.02394415060465967
safi,Safi,Marrakech-Safi,23,32.211854521739134,-9.111342565217392,4,1,0.17391304347826086,0,0,0.0,0.0,0.0,-0.041860757376825646
sale,Salé,Rabat-Salé-Kénitra,4,34.035829500000006,-6.69691,2,1,0.5,0,0,0.0,0.0,0.0,0.6287055588924825
sefrou,Sefrou,Fès-Meknès,21,33.85250385714286,-4.663104619047619,846,1,40.285714285714285,1,0,0.0,0.0,0.0,0.561307703947326
settat,Settat,Casablanca-Settat,30,32.87128773333333,-7.598133633333333,319,1,10.633333333333333,1,0,0.0,0.0,0.0,0.20057332466633085
sidi bennour,Sidi Bennour,Casablanca-Settat,28,32.712988357142855,-8.478239035714285,0,0,0.0,0,0,0.0,0.0,0.0,0.1423761285288102
