rang,Commune,Province,n_cas,suggestion_meme_province,score_meme_province,suggestion_globale,score_globale,province_suggestion_globale,cumsum_pct,DECISION_HUMAINE
57,Alouahda,Taza,4,Oulad Zbair,0.526,Lounasda,0.75,El Kelâa des Sraghna,16.571100917431192,
58,Ait brahim,Tinghir,4,Aït Hani,0.667,Ait Baha,0.778,Chtouka-Aït Baha,16.80045871559633,
59,Ouled Mbarek,Fquih Ben Salah,4,Oulad Zmam,0.636,Oulad M'Barek,0.88,Béni Mellal,17.029816513761467,
60,Passage,Chichaoua,4,Gmassa,0.615,Assa,0.727,Assa-Zag,17.259174311926607,
61,Agoudid,Azilal,4,Agoudi N'Lkhair,0.545,Agoudim,0.857,Midelt,17.488532110091743,
62,Tichibite,Azilal,4,Tisqi,0.429,Chaibate,0.706,El Jadida,17.71788990825688,
63,Sarghin,Tinghir,4,Tinghir,0.429,Serghina,0.8,Boulemane,17.94724770642202,
64,15 Eme Gare,Taza,4,El Gouzate,0.476,Oulad El Garne,0.56,El Kelâa des Sraghna,18.176605504587155,
65,Beni Aros,Larache,4,Bni Garfett,0.6,Bni Arouss,0.842,Tétouan,18.40596330275229,
66,Binlwidane,Azilal,4,Bin El Ouidane,0.75,Bin El Ouidane,0.75,Azilal,18.63532110091743,
67,Boumlne,Ouarzazate,4,Toundoute,0.5,Boulemane,0.75,Boulemane,18.86467889908257,
68,Boutghrah,Tinghir,4,Outerbat,0.588,Boughriba,0.778,Berkane,19.094036697247702,
69,Ghorm El Alam,Béni Mellal,4,Foum El Anceur,0.519,Sour El Aaz,0.667,El Kelâa des Sraghna,19.323394495412845,
70,Jyarine,Taza,4,Barkine,0.714,Barkine,0.714,Taza,19.55275229357798,
71,Lahmadna,El Kelâa des Sraghna,4,Hiadna,0.714,Lahsasna,0.75,Berrechid,19.78211009174312,
72,Rk,Guercif,4,Saka,0.333,Zarkat,0.5,Taounate,20.011467889908257,
73,Ouled Abdellah,Fquih Ben Salah,4,Oulad Fares El Halla,0.588,Oulad Salah,0.72,Nouaceur,20.240825688073397,
74,Takerkoust,Al Haouz,4,Lalla Takarkoust,0.692,Tamegroute,0.7,Zagora,20.470183486238533,
75,Syba,Al Haouz,4,Sidi Badhaj,0.4,Sbouya,0.6,Sidi Ifni,20.69954128440367,
76,Tigoudar,Essaouira,4,Lagdadra,0.5,Tigouga,0.8,Taroudant,20.928899082568808,
77,ait h ousaid,Tinghir,4,Aït Hani,0.7,Ait Said,0.8,Essaouira,21.158256880733944,
78,Skoura,Taounate,4,Ourtzagh,0.571,Meskoura,0.857,Khouribga,21.387614678899084,
79,Skhinate,Fès,4,Sidi Hrazem,0.421,Skhirate,0.875,Skhirate-Témara,21.61697247706422,
