region,province,n_communes,n_cases,n_years_covered,years,status
Rabat-Salé-Kénitra,Sidi Kacem,14,1187,12,"[2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",avec_donnees
Rabat-Salé-Kénitra,Sidi Slimane,21,18,6,"[2011, 2013, 2014, 2015, 2016, 2017]",avec_donnees
Souss-Massa,Agadir-Ida Ou Tanane,16,211,9,"[2010, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",avec_donnees
Souss-Massa,Chtouka-Aït Baha,33,52,9,"[2010, 2011, 2012, 2015, 2016, 2017, 2018, 2019, 2020]",avec_donnees
Souss-Massa,Inezgane-Aït Melloul,18,12,3,"[2011, 2015, 2016]",avec_donnees
Souss-Massa,Taroudant,61,466,12,"[2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",avec_donnees
Souss-Massa,Tata,25,4,1,[2019],avec_donnees
Souss-Massa,Tiznit,26,19,8,"[2010, 2011, 2014, 2016, 2017, 2018, 2019, 2020]",avec_donnees
Tanger-Tétouan-Al Hoceïma,Al Hoceïma,30,171,12,"[2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",avec_donnees
Tanger-Tétouan-Al Hoceïma,Chefchaouen,30,56,12,"[2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",avec_donnees
Tanger-Tétouan-Al Hoceïma,Fahs-Anjra,7,8,5,"[2009, 2010, 2011, 2012, 2014]",avec_donnees
Tanger-Tétouan-Al Hoceïma,Larache,24,197,12,"[2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",avec_donnees
Tanger-Tétouan-Al Hoceïma,M'diq-Fnideq,4,6,4,"[2010, 2011, 2014, 2018]",avec_donnees
Tanger-Tétouan-Al Hoceïma,Ouezzane,31,746,9,"[2011, 2012, 2013, 2014, 2016, 2017, 2018, 2019, 2020]",avec_donnees
Tanger-Tétouan-Al Hoceïma,Tanger-Assilah,12,9,3,"[2009, 2016, 2019]",avec_donnees
Tanger-Tétouan-Al Hoceïma,Tétouan,18,85,12,"[2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",avec_donnees
