modele,MAE,RMSE,MedAE,Deviance_Poisson,Spearman,R2,Erreur_pic_mois
Gradient Boosting,0.04077306511974748,0.45829639591396876,0.008514589292293198,0.12699182917018212,0.11243485041794625,0.4045467324148724,1.8041958041958042
Random Forest,0.04129332857939854,0.46816720490813307,0.012156474108553353,0.12983347513184818,0.1529790203587712,0.3786207090308119,2.027972027972028
LightGBM,0.043984937126950105,0.6985981463380879,0.009817656502945148,0.1292520619054471,0.12069583384746496,-0.3835971439339412,2.1188811188811187
Extra Trees,0.04477239386415223,0.44160693722874245,0.01681114186493381,0.13278457699600849,0.11926904939355815,0.44712548266866214,1.986013986013986
Poisson GLM,0.08675426954198033,1.8392911087449286,0.03213454803300341,0.2361051216486318,0.059281514096687686,-8.590820035408786,2.8111888111888113
"GAM (Poisson, splines)",0.08858892567295577,0.5966157741882454,0.048754906229405356,0.3059558430322076,0.02568140182721136,-0.009123366141421618,3.4615384615384617
Zero-Inflated NB,38287275.236111656,7967443722.721498,5.644838848797897e-18,76574550.90466632,-0.004040497092126347,-1.7996697138112712e+20,4.405594405594406
Negative Binomial GLM,11706368226.40047,2507789773167.2837,0.023760136782120904,23412736452.613014,0.0843326572837562,-1.7829413322496668e+25,2.5034965034965033
