region,annee,mois,cas_predits,ci_lower_95,ci_upper_95
Béni Mellal-Khénifra,2025,1,103.94511851816073,84.36489364444215,123.5253433918793
Béni Mellal-Khénifra,2025,2,108.08356755642602,88.0933546844759,128.07378042837615
Béni Mellal-Khénifra,2025,3,114.98506418176795,94.32460751318763,135.64552085034828
Béni Mellal-Khénifra,2025,4,111.56639513074332,91.23236842320925,131.9004218382774
Béni Mellal-Khénifra,2025,5,96.00940717512651,77.19762544512194,114.82118890513108
Béni Mellal-Khénifra,2025,6,88.90227732307605,70.84264127655547,106.96191336959663
Béni Mellal-Khénifra,2025,7,78.3560063961379,61.466491373626305,95.2455214186495
Béni Mellal-Khénifra,2025,8,77.55698824963876,60.76083021164149,94.35314628763604
Béni Mellal-Khénifra,2025,9,89.01536192639999,70.96027784542619,107.07044600737379
Béni Mellal-Khénifra,2025,10,93.88773167500675,75.31441474105456,112.46104860895893
Béni Mellal-Khénifra,2025,11,104.80207093258701,85.09995360257305,124.50418826260098
Béni Mellal-Khénifra,2025,12,107.0374167343109,87.19052134943475,126.88431211918704
Béni Mellal-Khénifra,2026,1,107.21794350508297,87.31639372260803,127.11949328755792
Béni Mellal-Khénifra,2026,2,112.34871306371062,91.94879870979571,132.74862741762553
Béni Mellal-Khénifra,2026,3,117.09913206097065,96.23861130233809,137.9596528196032
Béni Mellal-Khénifra,2026,4,116.05950838653848,95.28021717052019,136.83879960255678
Béni Mellal-Khénifra,2026,5,98.5802336417786,79.4942590616072,117.66620822195001
Béni Mellal-Khénifra,2026,6,90.74679182490291,72.47386833240043,109.0197153174054
Béni Mellal-Khénifra,2026,7,81.0886315180535,63.861726114802856,98.31553692130416
Béni Mellal-Khénifra,2026,8,79.15650554340428,62.15296195045778,96.16004913635078
Béni Mellal-Khénifra,2026,9,90.45392037443015,72.23789045213312,108.6699502967272
Béni Mellal-Khénifra,2026,10,95.6416051707419,76.87799320538193,114.40521713610187
Béni Mellal-Khénifra,2026,11,106.49074259195716,86.61309542702278,126.36838975689153
Béni Mellal-Khénifra,2026,12,110.05683317211779,89.8732491750593,130.24041716917628
Béni Mellal-Khénifra,2027,1,107.97613444982248,87.97858101849025,127.97368788115472
Béni Mellal-Khénifra,2027,2,113.08066662530338,92.56933742735355,133.59199582325323
Béni Mellal-Khénifra,2027,3,118.18923524995228,97.18551434356458,139.19295615634
Béni Mellal-Khénifra,2027,4,115.8985315676006,95.10900800276917,136.68805513243203
Béni Mellal-Khénifra,2027,5,100.94852982848296,81.58904931734652,120.3080103396194
Béni Mellal-Khénifra,2027,6,91.52811818194036,73.13808544150645,109.91815092237427
Béni Mellal-Khénifra,2027,7,81.7516632876371,64.42693135936696,99.07639521590724
Béni Mellal-Khénifra,2027,8,79.23714139500882,62.22600336870832,96.24827942130932
Béni Mellal-Khénifra,2027,9,91.00639642466068,72.72836756908401,109.28442528023734
Béni Mellal-Khénifra,2027,10,96.90157882903534,77.99758974127207,115.80556791679862
Béni Mellal-Khénifra,2027,11,107.87770076525774,87.82855282529674,127.92684870521875
Béni Mellal-Khénifra,2027,12,111.61681258693076,91.25366545246126,131.97995972140026
Béni Mellal-Khénifra,2028,1,111.1625573351599,90.82564523400035,131.49946943631946
Béni Mellal-Khénifra,2028,2,113.54881269088693,92.97506762747379,134.1225577543001
Béni Mellal-Khénifra,2028,3,120.04983702048324,98.87717391006866,141.22250013089783
Béni Mellal-Khénifra,2028,4,117.61019978607438,96.66278302488445,138.5576165472643
Béni Mellal-Khénifra,2028,5,101.30387975445149,81.90863638240191,120.69912312650106
Béni Mellal-Khénifra,2028,6,92.11306683379131,73.66532683695911,110.5608068306235
Béni Mellal-Khénifra,2028,7,81.94021584005773,64.59290740116727,99.2875242789482
Béni Mellal-Khénifra,2028,8,79.79577039087563,62.703348258774284,96.88819252297698
Béni Mellal-Khénifra,2028,9,91.7214365070243,73.34418578853635,110.09868722551224
Béni Mellal-Khénifra,2028,10,96.25562148573046,77.40306016951368,115.10818280194724
Béni Mellal-Khénifra,2028,11,108.52986792230767,88.41695591161152,128.64277993300382
Béni Mellal-Khénifra,2028,12,110.27923638884128,90.04075080067142,130.51772197701115
Béni Mellal-Khénifra,2029,1,110.686147551288,90.38603963284726,130.98625546972875
Béni Mellal-Khénifra,2029,2,115.04534570249822,94.33016145116808,135.76052995382838
Béni Mellal-Khénifra,2029,3,121.27927424093863,99.99449223068038,142.5640562511969
Béni Mellal-Khénifra,2029,4,118.68966526116388,97.64304279696748,139.73628772536028
Béni Mellal-Khénifra,2029,5,100.41937183627765,81.11203343891285,119.72671023364245
Béni Mellal-Khénifra,2029,6,91.92058165001153,73.49095296991801,110.35021033010504
Béni Mellal-Khénifra,2029,7,82.08318133370948,64.7175682992289,99.44879436819005
Béni Mellal-Khénifra,2029,8,79.84358573499428,62.7397948982833,96.94737657170526
Béni Mellal-Khénifra,2029,9,91.76691736118285,73.3891684124579,110.14466630990779
Béni Mellal-Khénifra,2029,10,97.47490111882891,78.50359892224304,116.44620331541478
Béni Mellal-Khénifra,2029,11,109.14104580739196,88.97873705187851,129.3033545629054
Béni Mellal-Khénifra,2029,12,112.2871420373957,91.86420151416257,132.71008256062882
Béni Mellal-Khénifra,2030,1,111.80949531148632,91.39921830397061,132.21977231900203
Béni Mellal-Khénifra,2030,2,115.20152463285032,94.4723004551114,135.93074881058925
Béni Mellal-Khénifra,2030,3,120.93859939811473,99.68551712709503,142.19168166913443
Béni Mellal-Khénifra,2030,4,117.96226056697228,96.98244024504412,138.94208088890042
Béni Mellal-Khénifra,2030,5,100.34098025199604,81.04186025578437,119.64010024820772
Béni Mellal-Khénifra,2030,6,92.24824272919298,73.78417081975681,110.71231463862915
Béni Mellal-Khénifra,2030,7,82.06859836603834,64.70236424976886,99.43483248230783
Béni Mellal-Khénifra,2030,8,80.26205489287135,63.10397805218613,97.42013173355656
Béni Mellal-Khénifra,2030,9,92.01799917359938,73.60912146878404,110.42687687841472
Béni Mellal-Khénifra,2030,10,96.8300961733306,77.9195298337969,115.7406625128643
Béni Mellal-Khénifra,2030,11,109.10206727730248,88.94012107894787,129.2640134756571
Béni Mellal-Khénifra,2030,12,112.47651923639067,92.03438886784588,132.91864960493547
Béni Mellal-Khénifra,2031,1,111.95110348031407,91.52638306178402,132.37582389884415
Béni Mellal-Khénifra,2031,2,115.67119293250384,94.89806255735489,136.44432330765278
Béni Mellal-Khénifra,2031,3,120.78922030110942,99.54877320386456,142.0296673983543
Béni Mellal-Khénifra,2031,4,117.63454042044502,96.68432363754039,138.58475720334965
Béni Mellal-Khénifra,2031,5,101.04092115797762,81.67232132973992,120.40952098621533
