mun_raw,pop_total,pop_total_male,pop_total_female,pop_under_15,pop_under_15_male,pop_under_15_female,pop_15_59,pop_15_59_male,pop_15_59_female,pop_60,pop_60_male,pop_60_female
Mansoura,13526.0,7225.0,6301.0,31.2,30.6,31.9,59.2,60.2,57.9,9.6,9.2,10.2
Marrakech-Médina,80631.0,39077.0,41554.0,18.1,19.4,16.9,59.8,60.7,58.8,22.2,19.9,24.3
Méchouar-Fès-El Jadid,14988.0,7247.0,7741.0,19.9,20.5,19.3,60.3,61.3,59.3,19.8,18.1,21.4
Médina,342492.0,174012.0,168480.0,24.4,24.7,24.0,64.1,64.2,64.0,11.5,11.2,11.9
Melilia,,,,,,,,,,,,
Ménara,519433.0,253694.0,265739.0,24.9,26.3,23.6,61.9,60.2,63.4,13.2,13.5,13.0
Mers-Sultan,97529.0,48699.0,48830.0,15.8,16.5,15.2,60.8,62.7,58.9,23.4,20.8,25.9
Mghogha,252177.0,128048.0,124129.0,26.4,26.8,26.0,64.0,63.6,64.5,9.5,9.5,9.5
Mijik-N/A,646.0,,,,,,,,,,,
Moqrissat,9413.0,4834.0,4579.0,24.3,24.0,24.7,59.2,60.8,57.5,16.5,15.2,17.8
Moulay Rachid,244692.0,120783.0,123909.0,23.5,24.4,22.5,61.9,61.5,62.2,14.7,14.1,15.3
My Abdellah,103755.0,53292.0,50463.0,31.6,31.7,31.4,60.2,60.1,60.2,8.3,8.2,8.4
My Driss Aghbal,4583.0,2335.0,2248.0,25.4,25.1,25.7,55.8,57.0,54.6,18.8,17.9,19.7
My Idriss Zerhoun,10033.0,4914.0,5119.0,22.9,24.6,21.2,57.5,56.8,58.3,19.6,18.6,20.5
Ouezzane,57356.0,28625.0,28731.0,23.5,24.6,22.4,60.1,58.8,61.5,16.4,16.6,16.2
Ourtzarh,13245.0,6552.0,6693.0,26.6,27.3,25.9,55.9,55.3,56.6,17.5,17.4,17.5
Ras El Ain Chaouia,14243.0,7245.0,6998.0,27.4,27.8,27.0,56.3,57.0,55.6,16.2,15.2,17.3
Rhafsai,7117.0,3558.0,3559.0,28.8,29.7,28.0,59.6,58.5,60.6,11.6,11.8,11.4
Rhouazi,16404.0,8455.0,7949.0,29.4,28.9,29.9,56.7,57.9,55.4,13.9,13.1,14.8
Ribate El Kheir,18468.0,8743.0,9725.0,24.1,26.6,21.9,58.1,54.8,61.1,17.8,18.6,17.0
Rmilat,19117.0,9884.0,9233.0,32.4,31.8,33.1,57.4,58.9,55.8,10.2,9.3,11.1
