rang,Commune,Province,n_cas,suggestion_meme_province,score_meme_province,suggestion_globale,score_globale,province_suggestion_globale,cumsum_pct,DECISION_HUMAINE
110,Souk laarbaa,Kénitra,2,Oulad Slama,0.522,Souk Tolba,0.727,Larache,23.28767123287671,
111,Skhinat,Fès,2,Ain Bida,0.4,Skhirate,0.8,Skhirate-Témara,23.43186733958183,
112,Arroui,Nador,2,Al Aroui,0.714,Azrou,0.727,Ifrane,23.576063446286952,
113,Aoulos,Taroudant,2,Aoulouz,0.769,Aoulouz,0.769,Taroudant,23.72025955299207,
114,Amria 2,Béni Mellal,2,Had Bradia,0.471,Lamrija,0.714,Guercif,23.86445565969719,
115,Amria,Béni Mellal,2,Had Bradia,0.533,Lamrija,0.833,Guercif,24.008651766402306,
116,Alwahda,Taza,2,Tahla,0.5,Lahdar,0.769,Youssoufia,24.152847873107426,
117,Alouhda,Taza,2,Bouchfaa,0.533,Tabouda,0.714,Chefchaouen,24.297043979812546,
118,Sidi Abdelaziz,Sidi Slimane,2,Sidi Al Kamel,0.593,Sidi Abdeljalil,0.828,Safi,24.441240086517663,
119,"Sidi A,Tadli",Sefrou,2,Ahl Sidi Lahcen,0.444,Sidi Ali,0.8,Zagora,24.585436193222783,
120,Sgangan,Nador,2,Zeghanghane,0.667,Sgamna,0.769,Khouribga,24.729632299927903,
121,Segangan,Nador,2,Zeghanghane,0.737,Zeghanghane,0.737,Nador,24.87382840663302,
122,Sebab,Guercif,2,Assebbab,0.769,Assebbab,0.769,Guercif,25.01802451333814,
123,Sbab,Guercif,2,Assebbab,0.667,Assebbab,0.667,Guercif,25.162220620043257,
124,Azlaf,Driouch,2,Tleta Azlef,0.5,Azla,0.889,Tétouan,25.306416726748377,
125,As s charkia,Tinghir,2,Ait Sedrate Sahl Charkia,0.611,Meknassa Acharqia,0.621,Taza,25.450612833453498,
126,As jbel sofla,Tinghir,2,Ait Sedrate Jbel El Soufla,0.667,Ait Sedrate Jbel El Soufla,0.667,Tinghir,25.594808940158615,
127,As Jbel,Tinghir,2,Assoul,0.462,Jbiel,0.667,El Kelâa des Sraghna,25.739005046863735,
