rang,Commune,Province,Region_std,n_cas,suggestion_meme_province,score_meme_province,suggestion_globale,score_globale,province_suggestion_globale,cumsum_pct,DECISION_HUMAINE
170,B.Bouayach,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,6,Bni Bouayach,0.818,Bni Bouayach,0.818,Al Hoceïma,69.82919254658385,
171,Sk,Sidi Kacem,Rabat-Salé-Kénitra,6,Sidi Kacem,0.333,Saka,0.667,Guercif,69.9223602484472,
172,O Akalay,Agadir-Ida Ou Tanane,Souss-Massa,6,Adaghas,0.4,Saadla,0.571,Safi,70.01552795031056,
173,Municipalité,Tétouan,Tanger-Tétouan-Al Hoceïma,6,Mallalienne,0.435,Mzilate,0.526,Chichaoua,70.1086956521739,
174,Bin jradi,Taza,Fès-Meknès,6,Bab Boudir,0.421,Bir Jdid,0.706,Nouaceur,70.20186335403727,
175,M.B.Mellal,Béni Mellal,Béni Mellal-Khénifra,6,Beni Mellal,0.667,Beni Mellal,0.667,Béni Mellal,70.29503105590062,
176,Boutaghrar,Fquih Ben Salah,Béni Mellal-Khénifra,6,Tachraft,0.556,Boughriba,0.737,Berkane,70.38819875776397,
177,Bouazayer,Azilal,Béni Mellal-Khénifra,6,Taounza,0.5,Ouazzane,0.706,Ouezzane,70.48136645962732,
178,slilou,Tinghir,Drâa-Tafilalet,6,Assoul,0.5,Smimou,0.667,Essaouira,70.57453416149069,
179,,Azilal,Béni Mellal-Khénifra,6,Zaouiat Ahansal,0.0,,0.0,,70.66770186335404,
180,"A,Maatouf",Taounate,Fès-Meknès,5,Ain Maatouf,0.8,Ain Maatouf,0.8,Taounate,70.74534161490683,
181,tighrmatine,Tinghir,Drâa-Tafilalet,5,Tilmi,0.5,Ighzrane,0.737,Taza,70.82298136645963,
182,Menara,Chichaoua,Marrakech-Safi,5,Majjat,0.5,Mnasra,0.833,Kénitra,70.90062111801242,
183,B.E.O,Azilal,Béni Mellal-Khénifra,5,Bin El Ouidane,0.316,Bzou,0.444,El Kelâa des Sraghna,70.97826086956522,
184,Kelaa,El Kelâa des Sraghna,Marrakech-Safi,5,El Aamria,0.571,Melaab,0.727,Errachidia,71.05590062111801,
185,Kabdani,Driouch,Oriental,5,Dar El Kebdani,0.571,Tabant,0.615,Azilal,71.13354037267081,
186,Oulad Harti,Larache,Tanger-Tétouan-Al Hoceïma,5,Oulad Ouchih,0.696,Oulad Chrif,0.818,Taza,71.2111801242236,
187,Bibane,Taounate,Fès-Meknès,5,El Bibane,0.8,El Bibane,0.8,Taounate,71.2888198757764,
188,Beni Garfat,Larache,Tanger-Tétouan-Al Hoceïma,5,Bni Garfett,0.818,Bni Garfett,0.818,Larache,71.36645962732919,
189,Ait Atab,Azilal,Béni Mellal-Khénifra,5,Aït Abbas,0.706,Ait Taleb,0.824,Rehamna,71.44409937888199,
190,Farkhana,Nador,Oriental,5,Arekmane,0.625,Argana,0.714,Taroudant,71.52173913043478,
191,Dhar,Essaouira,Marrakech-Safi,5,Had Dra,0.545,Adar,0.75,Tata,71.59937888198758,
192,ait brahim,Tinghir,Drâa-Tafilalet,5,Aït Hani,0.667,Ait Baha,0.778,Chtouka-Aït Baha,71.67701863354037,
193,kansara,Moulay Yacoub,Fès-Meknès,5,Laajajra,0.533,Mkansa,0.769,Sidi Kacem,71.75465838509317,
194,c boumalne,Tinghir,Drâa-Tafilalet,5,Boumalne Dadès,0.667,Boulemane,0.737,Boulemane,71.83229813664596,
195,sekoura,Sefrou,Fès-Meknès,5,Sefrou,0.615,Meskoura,0.8,Khouribga,71.90993788819875,
196,A.Y.Ouali,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,5,Rouadi,0.533,Oualili,0.625,Meknès,71.98757763975155,
