rang,Commune,Province,n_cas,suggestion_meme_province,score_meme_province,suggestion_globale,score_globale,province_suggestion_globale,cumsum_pct,DECISION_HUMAINE
57,"Od, Naceur",Fquih Ben Salah,8,Oulad Nacer,0.762,Oulad Nacer,0.762,Fquih Ben Salah,25.369902562251895,
58,Sahraoua,Sidi Kacem,8,Bab Tiouka,0.444,Maghraoua,0.824,Taza,25.658607001082643,
59,S K,Sidi Kacem,8,Sidi Kacem,0.462,Saka,0.571,Guercif,25.94731143991339,
60,tabrkhachte,Tinghir,7,Souk Lakhmis Dades,0.345,Tamchachate,0.727,El Hajeb,26.19992782389029,
61,ait yassine,Tinghir,7,Ait Ouassif,0.727,Ait Yadine,0.857,Khemisset,26.452544207867195,
62,hanchan,Essaouira,7,El Hanchane,0.778,El Hanchane,0.778,Essaouira,26.7051605918441,
63,imzilne,Tinghir,7,Imider,0.615,Idmine,0.769,Agadir-Ida Ou Tanane,26.957776975821,
64,Tikiouine,Agadir-Ida Ou Tanane,7,Imsouane,0.588,Tizounine,0.778,Tata,27.21039335979791,
65,Sebbab,Taza,7,Smià,0.4,Assebbab,0.857,Guercif,27.463009743774812,
66,Chtioui,Fquih Ben Salah,7,Bni Oukil,0.5,Tiouli,0.769,Jerada,27.715626127751715,
67,Somaa,Béni Mellal,7,Oulad Gnaou,0.375,Smara,0.8,Es-Semara,27.96824251172862,
68,Lakhmiss Dadès,Ouarzazate,7,Ghassate,0.455,Souk Lakhmis Dades,0.812,Tinghir,28.220858895705522,
69,Menara,Al Haouz,7,Amghras,0.462,Mnasra,0.833,Kénitra,28.473475279682425,
70,S Y B Z,Taounate,7,Sidi Yahya Bni Zeroual,0.483,Sidi Yahya Bni Zeroual,0.483,Taounate,28.72609166365933,
71,"Q,militaire",Taza,7,Msila,0.5,Mzilate,0.556,Chichaoua,28.978708047636232,
72,Ighilnoumgoune,Tinghir,7,Ikniouen,0.455,Ighil N'Oumgoun,0.897,Azilal,29.231324431613135,
73,Dar kebdani,Nador,7,Arekmane,0.526,Dar El Kebdani,0.88,Driouch,29.48394081559004,
74,Bab Wandar,Taounate,7,Jbabra,0.5,Bab Taza,0.667,Chefchaouen,29.736557199566942,
75,Beni sadden,Sefrou,7,Aït Seghrouchen,0.154,Bni Said,0.737,Tétouan,29.989173583543845,
76,Hsseya,Tinghir,7,Toudgha Essoufla,0.364,H'Ssyia,0.769,Zagora,30.241789967520752,
77,Sk,Sidi Kacem,6,Sidi Kacem,0.333,Saka,0.667,Guercif,30.45831829664381,
78,amajaw,Driouch,6,Amejjaou,0.571,Majjat,0.667,Chichaoua,30.67484662576687,
79,Tizentest,Taroudant,6,Tizi N'Test,0.8,Tizi N'Test,0.8,Taroudant,30.89137495488993,
80,slilou,Tinghir,6,Assoul,0.5,Smimou,0.667,Essaouira,31.10790328401299,
81,"s,redouane",Ouezzane,6,Sidi Redouane,0.783,Sidi Redouane,0.783,Ouezzane,31.324431613136053,
82,A S Jbel sofla,Tinghir,6,Ait Sedrate Jbel El Soufla,0.7,Ait Sedrate Jbel El Soufla,0.7,Tinghir,31.54095994225911,
83,"A,chefk",Al Haouz,6,Ahl Tifnoute,0.316,Tancherfi,0.625,Jerada,31.757488271382172,
84,Ghar Nhal,Béni Mellal,6,Had Bradia,0.421,Hjar Ennhal,0.8,Tanger-Assilah,31.974016600505234,
85,Ghorm El Alem,Béni Mellal,6,Foum El Anceur,0.593,Laghoualem,0.609,Benslimane,32.190544929628295,
86,M.B.Mellal,Béni Mellal,6,Beni Mellal,0.667,Beni Mellal,0.667,Béni Mellal,32.40707325875135,
87,Municipalité,Tétouan,6,Mallalienne,0.435,Mzilate,0.526,Chichaoua,32.62360158787441,
88,Ras Alma,Moulay Yacoub,6,Moulay Abdelkrim,0.417,Ras El Ma,0.824,Berkane,32.840129916997476,
89,"S,Redoune",Ouezzane,6,Sidi Redouane,0.727,Sidi Redouane,0.727,Ouezzane,33.056658246120534,
90,O Akalay,Agadir-Ida Ou Tanane,6,Adaghas,0.4,Saadla,0.571,Safi,33.27318657524359,
91,"Bouzemlane,c",Taza,6,Bouyablane,0.636,Boulemane,0.762,Boulemane,33.48971490436666,
92,Bin jradi,Taza,6,Bab Boudir,0.421,Bir Jdid,0.706,Nouaceur,33.706243233489715,
93,Bouazayer,Azilal,6,Taounza,0.5,Ouazzane,0.706,Ouezzane,33.92277156261277,
94,Boutaghrar,Fquih Ben Salah,6,Tachraft,0.556,Boughriba,0.737,Berkane,34.13929989173584,
95,B.bouayach,Al Hoceïma,6,Bni Bouayach,0.818,Bni Bouayach,0.818,Al Hoceïma,34.355828220858896,
96,B.Mellal,Béni Mellal,6,Beni Mellal,0.737,Beni Mellal,0.737,Béni Mellal,34.572356549981954,
97,B.Bouayach,Al Hoceïma,6,Bni Bouayach,0.818,Bni Bouayach,0.818,Al Hoceïma,34.78888487910502,
98,Ajdir,Taza,6,Bab Boudir,0.533,Ajdir 2,0.833,Al Hoceïma,35.00541320822808,
99,Al wahda,Taza,6,Outat El Haj,0.4,Lahdar,0.714,Youssoufia,35.221941537351135,
100,tighrmatine,Tinghir,5,Tilmi,0.5,Ighzrane,0.737,Taza,35.40238181162035,
101,kansara,Moulay Yacoub,5,Laajajra,0.533,Mkansa,0.769,Sidi Kacem,35.58282208588957,
102,Ait Tazarin,Tinghir,5,Aït Elfarsi,0.636,Tazarine,0.737,Taza,35.76326236015879,
103,Kabdani,Driouch,5,Dar El Kebdani,0.571,Tabant,0.615,Azilal,35.94370263442801,
104,Kelaa,El Kelâa des Sraghna,5,El Aamria,0.571,Melaab,0.727,Errachidia,36.12414290869722,
105,ait brahim,Tinghir,5,Aït Hani,0.667,Ait Baha,0.778,Chtouka-Aït Baha,36.30458318296644,
106,Dhar,Essaouira,5,Had Dra,0.545,Adar,0.75,Tata,36.485023457235656,
107,sekoura,Sefrou,5,Sefrou,0.615,Meskoura,0.8,Khouribga,36.66546373150487,
108,Al quods,Taza,5,Bab Boudir,0.444,Al Oued,0.667,Chefchaouen,36.84590400577409,
109,Al ouhda,Taza,5,El Gouzate,0.556,Al Oued,0.8,Chefchaouen,37.026344280043304,
110,H K,Sidi Kacem,5,Sidi Kacem,0.308,N'Kob,0.5,Tinghir,37.20678455431252,
111,Taghgigt,Guelmim,5,Tiglit,0.571,Taghzirt,0.75,Béni Mellal,37.387224828581736,
112,Bibane,Taounate,5,El Bibane,0.8,El Bibane,0.8,Taounate,37.56766510285096,
113,Taouima,Nador,5,Al Aroui,0.533,Touama,0.769,Marrakech,37.748105377120176,
114,"A,Maatouf",Taounate,5,Ain Maatouf,0.8,Ain Maatouf,0.8,Taounate,37.92854565138939,
115,A.Medouna,Taounate,5,Ain Mediouna,0.762,Médiouna,0.824,Nouaceur,38.10898592565861,
116,A.Y.Ouali,Al Hoceïma,5,Rouadi,0.533,Oualili,0.625,Meknès,38.289426199927824,
117,Beni Garfat,Larache,5,Bni Garfett,0.818,Bni Garfett,0.818,Larache,38.46986647419704,
118,A.Taourirt,Al Hoceïma,5,Arbaa Taourirt,0.75,Taourirt,0.889,Taourirt,38.65030674846626,
119,Bouzmlane,Taza,5,Bouyablane,0.737,Boulemane,0.778,Boulemane,38.83074702273547,
120,Bssabssa,Taounate,5,Messassa,0.75,Messassa,0.75,Taounate,39.01118729700469,
121,Farkhana,Nador,5,Arekmane,0.625,Argana,0.714,Taroudant,39.191627571273905,
122,Menara,Chichaoua,5,Majjat,0.5,Mnasra,0.833,Kénitra,39.37206784554313,
123,Oulad Harti,Larache,5,Oulad Ouchih,0.696,Oulad Chrif,0.818,Taza,39.552508119812344,
124,Rhouazi,Taounate,5,Rghioua,0.714,Ghouazi,0.857,Moulay Yacoub,39.73294839408156,
125,B.E.O,Azilal,5,Bin El Ouidane,0.316,Bzou,0.444,El Kelâa des Sraghna,39.91338866835078,
126,c boumalne,Tinghir,5,Boumalne Dadès,0.667,Boulemane,0.737,Boulemane,40.09382894261999,
127,Ait Atab,Azilal,5,Aït Abbas,0.706,Ait Taleb,0.824,Rehamna,40.27426921688921,
128,Alouahda,Taza,4,Oulad Zbair,0.526,Lounasda,0.75,El Kelâa des Sraghna,40.41862143630458,
129,"A,Aicha",Taounate,4,Aïn Aïcha,0.75,Ayacha,0.769,Larache,40.56297365571996,
130,Bkakcha,Settat,4,Dar Chaffai,0.444,Brikcha,0.714,Ouezzane,40.70732587513533,
131,"A,Mediouna",Taounate,4,Ain Mediouna,0.818,Médiouna,0.889,Nouaceur,40.85167809455071,
132,Skoura,Taounate,4,Ourtzagh,0.571,Meskoura,0.857,Khouribga,40.996030313966074,
133,AS jberl,Tinghir,4,Assoul,0.429,Sidi Jaber,0.667,Béni Mellal,41.14038253338145,
134,Ait h said,Tinghir,4,Aït Hani,0.778,Ait Said,0.889,Essaouira,41.28473475279682,
135,Beni Aros,Larache,4,Bni Garfett,0.6,Bni Arouss,0.842,Tétouan,41.4290869722122,
136,Babmrouj,Taza,4,Bab Marzouka,0.7,Bab Marzouka,0.7,Taza,41.57343919162757,
137,Binlwidane,Azilal,4,Bin El Ouidane,0.75,Bin El Ouidane,0.75,Azilal,41.717791411042946,
138,Hajra,Béni Mellal,4,Had Bradia,0.533,Anjra,0.8,Fahs-Anjra,41.86214363045832,
139,Ighilamgoune,Tinghir,4,Kalaat M'Gouna,0.538,Ighil N'Oumgoun,0.741,Azilal,42.006495849873694,
140,Hcia,Tinghir,4,M'Ssici,0.364,Zghira,0.6,Ouezzane,42.15084806928907,
141,A S S gharbia,Tinghir,4,Ait Sedrate Sahl El Gharbia,0.65,Had Al Gharbia,0.741,Tanger-Assilah,42.295200288704436,
142,Syba,Al Haouz,4,Sidi Badhaj,0.4,Sbouya,0.6,Sidi Ifni,42.43955250811981,
143,Takerkoust,Al Haouz,4,Lalla Takarkoust,0.692,Tamegroute,0.7,Zagora,42.583904727535185,
144,Tigoudar,Essaouira,4,Lagdadra,0.5,Tigouga,0.8,Taroudant,42.72825694695056,
145,Alqods,Agadir-Ida Ou Tanane,4,Aqesri,0.5,Al Oued,0.615,Chefchaouen,42.87260916636593,
146,Ait Hamou Ousaid,Tinghir,4,Ait Ouassif,0.593,Ait Haddou Youssef,0.706,Taroudant,43.01696138578131,
147,Guéliz,Tinghir,4,Ouaklim,0.462,Guelmim,0.769,Guelmim,43.16131360519668,
148,Iwariden,Azilal,4,Aït Majden,0.556,Mibladen,0.625,Midelt,43.305665824612056,
149,15 Eme Gare,Taza,4,El Gouzate,0.476,Oulad El Garne,0.56,El Kelâa des Sraghna,43.45001804402742,
150,Kolla,Larache,4,Souk Tolba,0.533,Kechoula,0.615,Chichaoua,43.5943702634428,
151,Jyarine,Taza,4,Barkine,0.714,Barkine,0.714,Taza,43.73872248285817,
152,tabrkhcht,Tinghir,4,Outerbat,0.353,Tabaroucht,0.737,Béni Mellal,43.88307470227355,
153,ait h ousaid,Tinghir,4,Aït Hani,0.7,Ait Said,0.8,Essaouira,44.02742692168892,
