rang,Commune,Province,Region_std,n_cas,suggestion_meme_province,score_meme_province,suggestion_globale,score_globale,province_suggestion_globale,cumsum_pct,CONFIRME_MANQUANT_REFERENTIEL,DECISION_HUMAINE
39,Boutaghrar,Tinghir,Drâa-Tafilalet,19,Outerbat,0.444,Boughriba,0.737,Berkane,38.623128119800334,False,
40,Bouzemlane,Taza,Fès-Meknès,19,Bouyablane,0.7,Boulemane,0.842,Boulemane,39.01830282861897,False,
41,Skour,Boulemane,Fès-Meknès,18,Missour,0.667,Meskoura,0.769,Khouribga,39.392678868552416,False,
42,Zegotta,Sidi Kacem,Rabat-Salé-Kénitra,18,Zaggota,0.714,Zaggota,0.714,Sidi Kacem,39.767054908485854,False,
43,Tassouit,Tinghir,Drâa-Tafilalet,18,Assoul,0.714,Tassousfi,0.824,Tata,40.1414309484193,False,
44,Chahid Baha,Sefrou,Fès-Meknès,17,Ahl Sidi Lahcen,0.538,Ait Baha,0.737,Chtouka-Aït Baha,40.49500831946755,False,
45,Ait tazarine,Tinghir,Drâa-Tafilalet,17,Aït Elfarsi,0.609,Tazarine,0.8,Taza,40.848585690515804,False,
46,Bab mrouj,Taza,Fès-Meknès,17,Bab Marzouka,0.762,Bab Marzouka,0.762,Taza,41.20216306156406,False,
47,""" """,Taounate,Fès-Meknès,17,M'tioua,0.2,N'Kob,0.25,Tinghir,41.55574043261231,False,
48,Tassouite,Tinghir,Drâa-Tafilalet,17,Assoul,0.667,Tassousfi,0.778,Tata,41.909317803660564,False,
49,Taguela,Azilal,Béni Mellal-Khénifra,16,Ait Taguella,0.737,Ait Taguella,0.737,Azilal,42.242096505823625,False,
50,sarghine,Tinghir,Drâa-Tafilalet,15,Tinghir,0.4,Serghina,0.75,Boulemane,42.554076539101494,False,
51,chafarni,Taroudant,Souss-Massa,15,Lakhnafif,0.471,Ifarni,0.714,Driouch,42.86605657237937,True,
52,Khenichate,Sidi Kacem,Rabat-Salé-Kénitra,15,Khnichet,0.778,Khnichet,0.778,Sidi Kacem,43.17803660565724,False,
53,Tislit,Azilal,Béni Mellal-Khénifra,15,Tisqi,0.727,Tiglit,0.833,Guelmim,43.49001663893511,False,
54,Bni Kolla,Sidi Kacem,Rabat-Salé-Kénitra,15,Bir Taleb,0.444,Bni Quolla,0.842,Ouezzane,43.80199667221298,False,
55,Bani Saden,Sefrou,Fès-Meknès,15,Aït Seghrouchen,0.48,Bni Said,0.778,Tétouan,44.11397670549085,False,
56,"S,A,B,B",Azilal,Béni Mellal-Khénifra,14,Aït Abbas,0.125,Sabbah,0.615,Skhirate-Témara,44.40515806988353,False,
57,Fariata,Béni Mellal,Béni Mellal-Khénifra,14,Had Bradia,0.471,Fraita,0.769,El Kelâa des Sraghna,44.696339434276204,False,
58,Mzem,El Kelâa des Sraghna,Marrakech-Safi,13,Zemrane,0.545,Zemrane,0.545,El Kelâa des Sraghna,44.96672212978369,False,
59,My Brahim,Al Haouz,Marrakech-Safi,13,Moulay Brahim,0.818,Moulay Brahim,0.818,Al Haouz,45.23710482529118,False,
60,Beni Sadden,Sefrou,Fès-Meknès,13,Aït Seghrouchen,0.154,Bni Said,0.737,Tétouan,45.50748752079867,False,
61,Timolilte,Azilal,Béni Mellal-Khénifra,13,Imlil,0.714,Timoulilt,0.889,Béni Mellal,45.777870216306155,False,
62,Foum Anser,Béni Mellal,Béni Mellal-Khénifra,13,Foum El Anceur,0.75,Foum El Anceur,0.75,Béni Mellal,46.04825291181364,False,
63,Bouzamlane,Taza,Fès-Meknès,13,Bouyablane,0.8,Bouyablane,0.8,Taza,46.318635607321134,False,
64,Tdili,Azilal,Béni Mellal-Khénifra,12,Tisqi,0.6,Tilmi,0.8,Tinghir,46.56821963394343,False,
65,boutghrar,Tinghir,Drâa-Tafilalet,12,Outerbat,0.588,Boughriba,0.778,Berkane,46.81780366056572,False,
66,Aderj,Sefrou,Fès-Meknès,12,Ahermoumou,0.4,Adrej,0.8,Boulemane,47.06738768718802,False,
67,Iaazazen,Nador,Oriental,12,Iaazzanene,0.778,Iaazzanene,0.778,Nador,47.31697171381032,False,
