rang,Commune,Province,Region_std,n_cas,suggestion_meme_province,score_meme_province,suggestion_globale,score_globale,province_suggestion_globale,cumsum_pct,CONFIRME_MANQUANT_REFERENTIEL,DECISION_HUMAINE
195,AS jberl,Tinghir,Drâa-Tafilalet,4,Assoul,0.429,Sidi Jaber,0.667,Béni Mellal,65.26622296173045,False,
196,Lahmadna,El Kelâa des Sraghna,Marrakech-Safi,4,Hiadna,0.714,Lahsasna,0.75,Berrechid,65.34941763727122,False,
197,Tigoudar,Essaouira,Marrakech-Safi,4,Lagdadra,0.5,Tigouga,0.8,Taroudant,65.43261231281198,False,
198,Boutghrah,Tinghir,Drâa-Tafilalet,4,Outerbat,0.588,Boughriba,0.778,Berkane,65.51580698835275,False,
199,Bourached,Taza,Fès-Meknès,4,Bouchfaa,0.588,Rouached,0.824,Fquih Ben Salah,65.59900166389352,False,
200,Tichibite,Azilal,Béni Mellal-Khénifra,4,Tisqi,0.429,Chaibate,0.706,El Jadida,65.68219633943427,False,
201,Ghorm El Alam,Béni Mellal,Béni Mellal-Khénifra,4,Foum El Anceur,0.519,Sour El Aaz,0.667,El Kelâa des Sraghna,65.76539101497504,False,
202,Boumlne,Ouarzazate,Drâa-Tafilalet,4,Toundoute,0.5,Boulemane,0.75,Boulemane,65.8485856905158,False,
203,,Ouezzane,Tanger-Tétouan-Al Hoceïma,4,Zoumi,0.0,,0.0,,65.93178036605657,False,
204,Z . Cheikh,Béni Mellal,Béni Mellal-Khénifra,4,Oulad M'Barek,0.348,Zaouiat Cheikh,0.667,Khénifra,66.01497504159734,False,
205,Hcia,Tinghir,Drâa-Tafilalet,4,M'Ssici,0.364,Zghira,0.6,Ouezzane,66.0981697171381,False,
206,Ighilamgoune,Tinghir,Drâa-Tafilalet,4,Kalaat M'Gouna,0.538,Ighil N'Oumgoun,0.741,Azilal,66.18136439267887,False,
207,ait abdoune,Tinghir,Drâa-Tafilalet,4,Ait Youl,0.632,Ait Yadine,0.762,Khemisset,66.26455906821964,False,
208,Kolla,Larache,Tanger-Tétouan-Al Hoceïma,4,Souk Tolba,0.533,Kechoula,0.615,Chichaoua,66.34775374376039,False,
209,ait h ousaid,Tinghir,Drâa-Tafilalet,4,Aït Hani,0.7,Ait Said,0.8,Essaouira,66.43094841930116,False,
210,"A,Mediouna",Taounate,Fès-Meknès,4,Ain Mediouna,0.818,Médiouna,0.889,Nouaceur,66.51414309484193,False,
211,"A,Aicha",Taounate,Fès-Meknès,4,Aïn Aïcha,0.75,Ayacha,0.769,Larache,66.5973377703827,False,
212,Alqods,Agadir-Ida Ou Tanane,Souss-Massa,4,Aqesri,0.5,Al Oued,0.615,Chefchaouen,66.68053244592346,False,
213,bab tété,Taza,Fès-Meknès,4,Bni Lent,0.375,Bab Berred,0.667,Chefchaouen,66.76372712146423,True,
214,Alouahda,Taza,Fès-Meknès,4,Oulad Zbair,0.526,Lounasda,0.75,El Kelâa des Sraghna,66.846921797005,False,
215,bab tete,Taza,Fès-Meknès,4,Bni Lent,0.375,Bab Berred,0.667,Chefchaouen,66.93011647254576,True,
216,boukerra,Ouezzane,Tanger-Tétouan-Al Hoceïma,4,Bou Jedyane,0.526,Boukraa,0.8,Laâyoune,67.01331114808653,False,
217,Ait brahim,Tinghir,Drâa-Tafilalet,4,Aït Hani,0.667,Ait Baha,0.778,Chtouka-Aït Baha,67.09650582362728,False,
218,Jyarine,Taza,Fès-Meknès,4,Barkine,0.714,Barkine,0.714,Taza,67.17970049916805,False,
219,ighilnoumgoune,Tinghir,Drâa-Tafilalet,4,Ikniouen,0.455,Ighil N'Oumgoun,0.897,Azilal,67.26289517470882,False,
220,laamarcha,Settat,Casablanca-Settat,4,Dar Chaffai,0.5,Laamamra,0.824,Chichaoua,67.34608985024958,False,
221,tabrkhcht,Tinghir,Drâa-Tafilalet,4,Outerbat,0.353,Tabaroucht,0.737,Béni Mellal,67.42928452579035,False,
222,tabrkhacht,Tinghir,Drâa-Tafilalet,4,Outerbat,0.333,Tabaroucht,0.7,Béni Mellal,67.51247920133112,False,
223,M.I.B.D,Azilal,Béni Mellal-Khénifra,4,Moulay Aissa Ben Driss,0.276,Mibladen,0.533,Midelt,67.59567387687188,False,
224,A S S gharbia,Tinghir,Drâa-Tafilalet,4,Ait Sedrate Sahl El Gharbia,0.65,Had Al Gharbia,0.741,Tanger-Assilah,67.67886855241265,False,
225,Bkakcha,Settat,Casablanca-Settat,4,Dar Chaffai,0.444,Brikcha,0.714,Ouezzane,67.7620632279534,False,
226,tazitount,Chichaoua,Marrakech-Safi,4,Ain Tazitounte,0.783,Ain Tazitounte,0.783,Chichaoua,67.84525790349417,False,
227,,Taza,Fès-Meknès,4,Zrarda,0.0,,0.0,,67.92845257903494,False,
228,,Tanger-Assilah,Tanger-Tétouan-Al Hoceïma,4,Tanger,0.0,,0.0,,68.0116472545757,False,
229,Hajra,Béni Mellal,Béni Mellal-Khénifra,4,Had Bradia,0.533,Anjra,0.8,Fahs-Anjra,68.09484193011647,False,
230,,Sidi Slimane,Rabat-Salé-Kénitra,4,Souk Tlet El Gharb,0.0,,0.0,,68.17803660565724,False,
231,,Chichaoua,Marrakech-Safi,4,Zaouia Annahlia,0.0,,0.0,,68.26123128119801,False,
232,Iwariden,Azilal,Béni Mellal-Khénifra,4,Aït Majden,0.556,Mibladen,0.625,Midelt,68.34442595673877,False,
233,Beni Aros,Larache,Tanger-Tétouan-Al Hoceïma,4,Bni Garfett,0.6,Bni Arouss,0.842,Tétouan,68.42762063227953,False,
234,B.S.jbel,Nador,Oriental,4,Bni Sidel Jbel,0.545,Jbiel,0.615,El Kelâa des Sraghna,68.5108153078203,False,
235,Guéliz,Tinghir,Drâa-Tafilalet,4,Ouaklim,0.462,Guelmim,0.769,Guelmim,68.59400998336106,False,
236,***,Al Haouz,Marrakech-Safi,4,Zerkten,0.0,Zrizer,0.0,Taounate,68.67720465890183,False,
237,Ouled Mbarek,Fquih Ben Salah,Béni Mellal-Khénifra,4,Oulad Zmam,0.636,Oulad M'Barek,0.88,Béni Mellal,68.7603993344426,False,
238,Ouled Abdellah,Fquih Ben Salah,Béni Mellal-Khénifra,4,Oulad Fares El Halla,0.588,Oulad Salah,0.72,Nouaceur,68.84359400998336,False,
239,Passage,Chichaoua,Marrakech-Safi,4,Gmassa,0.615,Assa,0.727,Assa-Zag,68.92678868552413,False,
240,"M,Bouchta",Taounate,Fès-Meknès,3,Bouhouda,0.588,Bouchfaa,0.706,Taza,68.9891846921797,False,
241,Barraca,Nador,Oriental,3,Bouarg,0.462,Brachoua,0.667,Skhirate-Témara,69.05158069883528,False,
242,wardana,Driouch,Oriental,3,Ourdana,0.714,Argana,0.769,Taroudant,69.11397670549084,False,
243,Kamoune,Béni Mellal,Béni Mellal-Khénifra,3,Naour,0.5,Zaïtoune,0.667,Tétouan,69.17637271214642,False,
244,Mesmoda,Ouezzane,Tanger-Tétouan-Al Hoceïma,3,Masmouda,0.8,Masmouda,0.8,Ouezzane,69.23876871880199,False,
245,"Ol,DAOUD",Taounate,Fès-Meknès,3,Oulad Daoud,0.737,Oulad Daoud,0.737,Taounate,69.30116472545757,False,
246,Ihchach,Agadir-Ida Ou Tanane,Souss-Massa,3,Ait Aissi Ihahane,0.333,Tichla,0.615,Aousserd,69.36356073211314,False,
247,Hay Mohamadi,Agadir-Ida Ou Tanane,Souss-Massa,3,Agadir,0.444,Mohammédia,0.636,Mohammedia,69.42595673876872,False,
248,Mansoura,Chefchaouen,Tanger-Tétouan-Al Hoceïma,3,Bni Mansour,0.737,Mançoura,0.875,Taounate,69.4883527454243,False,
249,Bab M'rouj,Taza,Fès-Meknès,3,Bab Marzouka,0.727,Bab Marzouka,0.727,Taza,69.55074875207987,False,
250,Gouzat,Taza,Fès-Meknès,3,El Gouzate,0.75,El Gouzate,0.75,Taza,69.61314475873544,False,
251,A h said,Tinghir,Drâa-Tafilalet,3,Ferkla Es-Soufla,0.417,Ait Said,0.75,Essaouira,69.67554076539102,False,
252,Hdr,Guercif,Oriental,3,Debdou,0.222,Lahdar,0.667,Youssoufia,69.7379367720466,False,
253,Ait mraou,Tinghir,Drâa-Tafilalet,3,Ait Youl,0.706,Aït Kamra,0.778,Al Hoceïma,69.80033277870216,False,
254,B.ensar,Nador,Oriental,3,Beni Ansar,0.706,Beni Ansar,0.706,Nador,69.86272878535773,False,
255,,Errachidia,Drâa-Tafilalet,3,Taouz,0.0,,0.0,,69.9251247920133,False,
256,As jbel olia,Tinghir,Drâa-Tafilalet,3,Ferkla El Oulia,0.667,Ras El Ma,0.667,Berkane,69.98752079866888,False,
257,My brahim,Al Haouz,Marrakech-Safi,3,Moulay Brahim,0.818,Moulay Brahim,0.818,Al Haouz,70.04991680532446,False,
258,Haouafate,Sidi Kacem,Rabat-Salé-Kénitra,3,Chbanate,0.588,Al Haouafate,0.857,Sidi Slimane,70.11231281198003,False,
259,Hay mohamadi,Agadir-Ida Ou Tanane,Souss-Massa,3,Agadir,0.444,Mohammédia,0.636,Mohammedia,70.17470881863561,False,
260,Foum er,Béni Mellal,Béni Mellal-Khénifra,3,Foum El Anceur,0.667,Foum Jemaa,0.706,El Kelâa des Sraghna,70.23710482529118,False,
261,Medina,Al Haouz,Marrakech-Safi,3,Oukaimeden,0.5,Médiouna,0.857,Nouaceur,70.29950083194676,False,
262,Ait yassine,Tinghir,Drâa-Tafilalet,3,Ait Ouassif,0.727,Ait Yadine,0.857,Khemisset,70.36189683860233,False,
263,Kebdani,Driouch,Oriental,3,Dar El Kebdani,0.667,Dar El Kebdani,0.667,Driouch,70.42429284525791,False,
264,Jnan ward,Fès,Fès-Meknès,3,Ain Kansra,0.421,Ain Harrouda,0.571,Médiouna,70.48668885191347,False,
265,Bouargane,Agadir-Ida Ou Tanane,Souss-Massa,3,Imsouane,0.588,Ouirgane,0.824,Al Haouz,70.54908485856905,False,
266,Ait Tazarine,Tinghir,Drâa-Tafilalet,3,Aït Elfarsi,0.609,Tazarine,0.8,Taza,70.61148086522462,False,
267,Jamila,Fquih Ben Salah,Béni Mellal-Khénifra,3,Bejaad,0.5,Msila,0.727,Taza,70.6738768718802,False,
268,Municipalité,Nador,Oriental,3,Beni Chiker,0.435,Mzilate,0.526,Chichaoua,70.73627287853577,False,
269,B.Abdellah,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,3,Bni Abdellah,0.818,Bni Abdellah,0.818,Al Hoceïma,70.79866888519135,False,
270,MunicipalitéBM,Béni Mellal,Béni Mellal-Khénifra,3,Tilougguite,0.32,Bni Tadjite,0.48,Errachidia,70.86106489184692,False,
271,Bit goulem,Taza,Fès-Meknès,3,Bni Lent,0.556,Sebt Gzoula,0.667,Safi,70.9234608985025,False,
272,S/R,Ouezzane,Tanger-Tétouan-Al Hoceïma,3,Sidi Bousber,0.4,Smara,0.5,Es-Semara,70.98585690515807,False,
273,Laanoucer,Sefrou,Fès-Meknès,3,Laanoussar,0.737,Laanoussar,0.737,Sefrou,71.04825291181365,False,
274,S.Kacem,Sidi Kacem,Rabat-Salé-Kénitra,3,Sidi Kacem,0.706,Sidi Kacem,0.706,Sidi Kacem,71.11064891846922,False,
275,Tighboula,Béni Mellal,Béni Mellal-Khénifra,3,Timoulilt,0.556,Tigouga,0.75,Taroudant,71.1730449251248,False,
276,Oulad L'Harti,Larache,Tanger-Tétouan-Al Hoceïma,3,Oulad Ouchih,0.64,Oulad Chrif,0.75,Taza,71.23544093178036,False,
277,Tibihite,Béni Mellal,Béni Mellal-Khénifra,3,Tilougguite,0.526,Tighirt,0.667,Tiznit,71.29783693843594,False,
278,Walili,Meknès,Fès-Meknès,3,Oualili,0.769,Talilit,0.769,Driouch,71.36023294509151,False,
279,Bouazier,Azilal,Béni Mellal-Khénifra,3,Bin El Ouidane,0.455,Bouarg,0.714,Nador,71.42262895174709,False,
280,Sais,Fès,Fès-Meknès,3,Ain Kansra,0.429,Assais,0.8,Taroudant,71.48502495840266,False,
281,15éme GARE,Taza,Fès-Meknès,3,El Gouzate,0.5,M'Garto,0.588,Khouribga,71.54742096505824,False,
282,Safsaf,Sidi Kacem,Rabat-Salé-Kénitra,3,Selfat,0.333,Sefsaf,0.833,Sidi Slimane,71.60981697171381,False,
283,agouidir,Chichaoua,Marrakech-Safi,3,Ighoud,0.571,Agoudim,0.8,Midelt,71.67221297836939,False,
284,Rquen,Tinghir,Drâa-Tafilalet,3,Ikniouen,0.462,Tafraouten,0.533,Taroudant,71.73460898502496,False,
285,Mbarek El bakay,Sefrou,Fès-Meknès,3,Dar El Hamra,0.593,Dar El Hamra,0.593,Sefrou,71.79700499168054,False,
286,Si a ben brahim,Azilal,Béni Mellal-Khénifra,3,Aït Abbas,0.5,Si Hsaien Ben Abderrahmane,0.683,El Jadida,71.85940099833611,False,
287,Jiyarine,Taza,Fès-Meknès,3,Barkine,0.667,Bni Yagrine,0.737,Settat,71.92179700499167,False,
288,Senhaja,Sefrou,Fès-Meknès,3,Dar El Hamra,0.421,Senada,0.769,Al Hoceïma,71.98419301164725,False,
289,ait s jbel,Tinghir,Drâa-Tafilalet,3,Ait Sedrate Jbel El Oulia,0.571,Bni Sidel Jbel,0.667,Nador,72.04658901830283,False,
290,ait idr,Tinghir,Drâa-Tafilalet,3,Aït Hani,0.667,Ait Said,0.8,Essaouira,72.1089850249584,False,
291,ait slimane,Tinghir,Drâa-Tafilalet,3,Aït Hani,0.632,Sidi Slimane,0.783,Sidi Slimane,72.17138103161398,False,
292,Ben cheikh,Al Haouz,Marrakech-Safi,3,Ouneine,0.353,Beni Chiker,0.762,Nador,72.23377703826955,False,
293,My Idriss,Meknès,Fès-Meknès,3,Moulay Idriss Zarhoun,0.6,Moulay Idriss Zarhoun,0.6,Meknès,72.29617304492513,False,
294,A. taourirt,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,3,Arbaa Taourirt,0.8,Taourirt,0.842,Taourirt,72.3585690515807,False,
295,"A,chefkaoui",Al Haouz,Marrakech-Safi,3,Askaouen,0.526,Dar Chaoui,0.667,Tanger-Assilah,72.42096505823628,False,
296,Sekoura,Sefrou,Fès-Meknès,3,Sefrou,0.615,Meskoura,0.8,Khouribga,72.48336106489185,False,
297,Sidi Ahmed Bouheddane,Ouezzane,Tanger-Tétouan-Al Hoceïma,3,Sidi Redouane,0.706,Sidi Ahmed Ou Amar,0.718,Taroudant,72.54575707154743,False,
298,b.chiker,Nador,Oriental,3,Beni Chiker,0.737,Beni Chiker,0.737,Nador,72.60815307820299,False,
299,berraka,Nador,Oriental,3,Hassi Berkane,0.5,Braksa,0.769,Khouribga,72.67054908485856,False,
300,Ghorm el alam,Béni Mellal,Béni Mellal-Khénifra,3,Foum El Anceur,0.519,Sour El Aaz,0.667,El Kelâa des Sraghna,72.73294509151414,False,
301,boutaghrar,Tinghir,Drâa-Tafilalet,3,Outerbat,0.444,Boughriba,0.737,Berkane,72.79534109816971,False,
302,boumalne k,Tinghir,Drâa-Tafilalet,3,Boumalne Dadès,0.75,Boumalne Dadès,0.75,Tinghir,72.85773710482529,False,
303,Sidi A Tadeli,Sefrou,Fès-Meknès,3,Ahl Sidi Lahcen,0.5,Sidi Al Kamel,0.769,Sidi Slimane,72.92013311148087,False,
304,ighrmloulne,Tinghir,Drâa-Tafilalet,3,Aghbalou N'Kerdous,0.483,Tighedouine,0.636,Al Haouz,72.98252911813644,False,
305,Slilou,Tinghir,Drâa-Tafilalet,3,Assoul,0.5,Smimou,0.667,Essaouira,73.04492512479202,False,
306,Ouizghet,Taounate,Fès-Meknès,3,Ourtzagh,0.625,Ouizeght,0.875,Midelt,73.10732113144759,False,
307,Iknioune,Ouarzazate,Drâa-Tafilalet,3,Toundoute,0.471,Ikniouen,0.875,Tinghir,73.16971713810317,False,
308,B.chiker,Nador,Oriental,3,Beni Chiker,0.737,Beni Chiker,0.737,Nador,73.23211314475874,False,
309,segangan,Nador,Oriental,3,Zeghanghane,0.737,Zeghanghane,0.737,Nador,73.2945091514143,False,
310,tansgharte,Tinghir,Drâa-Tafilalet,3,Tinghir,0.588,Tamanarte,0.737,Assa-Zag,73.35690515806988,False,
311,Od Youssef,Settat,Casablanca-Settat,3,Guisser,0.471,Ouled Youssef,0.87,Fquih Ben Salah,73.41930116472545,False,
312,Sidi ahmed tadli,Sefrou,Fès-Meknès,3,Sidi Youssef Ben Ahmed,0.526,Sidi Ahmed El Khadir,0.778,El Kelâa des Sraghna,73.48169717138103,False,
313,R'Ghiwa,Taounate,Fès-Meknès,3,Rghioua,0.714,Rghioua,0.714,Taounate,73.5440931780366,False,
314,Beni Gorfat,Larache,Tanger-Tétouan-Al Hoceïma,3,Bni Garfett,0.727,Bni Garfett,0.727,Larache,73.60648918469218,False,
315,Oued Laabid,Azilal,Béni Mellal-Khénifra,3,Agoudi N'Lkhair,0.538,Oued Naam,0.7,Errachidia,73.66888519134775,False,
316,,Tinghir,Drâa-Tafilalet,3,Toudgha Essoufla,0.0,,0.0,,73.73128119800333,False,
317,Lalla Aicha,Sidi Kacem,Rabat-Salé-Kénitra,3,Bab Tiouka,0.19,Laagagcha,0.7,Sidi Bennour,73.7936772046589,False,
318,Taddert,Guercif,Oriental,3,Tissaf,0.308,Taddart,0.857,Taza,73.85607321131448,False,
319,Tassouite,Ouarzazate,Drâa-Tafilalet,3,Tansifte,0.706,Tassousfi,0.778,Tata,73.91846921797006,False,
320,zte sidi kacem,Tétouan,Tanger-Tétouan-Al Hoceïma,3,Zaouiat Sidi Kacem,0.812,Sidi Kacem,0.833,Sidi Kacem,73.98086522462562,False,
321,Menara,Tinghir,Drâa-Tafilalet,3,Imider,0.5,Mnasra,0.833,Kénitra,74.04326123128119,False,
322,Bit Ghoulam,Taza,Fès-Meknès,2,Tahla,0.5,Sebt Gzoula,0.727,Safi,74.08485856905158,False,
323,Draa,Azilal,Béni Mellal-Khénifra,2,Rfala,0.667,Drargua,0.727,Inezgane-Aït Melloul,74.12645590682196,False,
324,Menara,Ouarzazate,Drâa-Tafilalet,2,Afra,0.6,Mnasra,0.833,Kénitra,74.16805324459234,False,
325,Ait majber,Tinghir,Drâa-Tafilalet,2,Aït Elfarsi,0.571,Aït Majden,0.8,Azilal,74.20965058236273,False,
326,"N°6830,Sidi Belkacem",Inezgane-Aït Melloul,Souss-Massa,2,Sidi Bibi,0.429,Sidi Kacem,0.69,Sidi Kacem,74.25124792013311,False,
327,Laaouina,Azilal,Béni Mellal-Khénifra,2,Taounza,0.667,Laaouinate,0.889,Jerada,74.2928452579035,False,
328,Laamoucha,Settat,Casablanca-Settat,2,Lahouaza,0.588,Laaouama,0.706,Tanger-Assilah,74.33444259567388,False,
329,Fansseur,Béni Mellal,Béni Mellal-Khénifra,2,Foum El Anceur,0.545,Aousserd,0.625,Aousserd,74.37603993344426,False,
330,M.Bmellal,Béni Mellal,Béni Mellal-Khénifra,2,Beni Mellal,0.7,Beni Mellal,0.7,Béni Mellal,74.41763727121464,False,
331,F.Anceur,Béni Mellal,Béni Mellal-Khénifra,2,Foum El Anceur,0.636,Foum El Anceur,0.636,Béni Mellal,74.45923460898503,False,
332,Ikaouen,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,2,Imzouren,0.667,Imaouen,0.857,Taroudant,74.50083194675541,False,
333,Ennakhil,Rehamna,Marrakech-Safi,2,Ait Taleb,0.118,Ben Khlil,0.706,Tan-Tan,74.5424292845258,False,
334,Meghasseine,Meknès,Fès-Meknès,2,Mrhassiyine,0.727,Mrhassiyine,0.727,Meknès,74.58402662229618,False,
335,Médina,Al Haouz,Marrakech-Safi,2,Oukaimeden,0.5,Médiouna,0.857,Nouaceur,74.62562396006656,False,
336,"My,Bouchta",Taounate,Fès-Meknès,2,Bouhouda,0.556,Moulay Bouchta,0.75,Moulay Yacoub,74.66722129783693,False,
337,My thami,Ouezzane,Tanger-Tétouan-Al Hoceïma,2,Masmouda,0.375,Tamri,0.615,Agadir-Ida Ou Tanane,74.70881863560732,False,
338,Od Mbark,Béni Mellal,Béni Mellal-Khénifra,2,Oulad M'Barek,0.762,Oulad M'Barek,0.762,Béni Mellal,74.7504159733777,False,
339,Od Barkate,Fquih Ben Salah,Béni Mellal-Khénifra,2,Ouled Bourahmoune,0.444,Oulad Amrane,0.636,Youssoufia,74.79201331114808,False,
340,Ouald Bder,Ouezzane,Tanger-Tétouan-Al Hoceïma,2,Moulay Abdelkader,0.593,Oulad Berhil,0.727,Taroudant,74.83361064891847,False,
341,Oled Bder,Ouezzane,Tanger-Tétouan-Al Hoceïma,2,Moulay Abdelkader,0.538,Ouled Zidane,0.667,Berrechid,74.87520798668885,False,
342,Oel Bousalham,Taounate,Fès-Meknès,2,El Bsabsa,0.636,Moulay Bousselham,0.733,Larache,74.91680532445923,False,
343,Od Ziane,Fquih Ben Salah,Béni Mellal-Khénifra,2,Oulad Zmam,0.556,Ouled Zidane,0.8,Berrechid,74.95840266222962,False,
344,***,Azilal,Béni Mellal-Khénifra,2,Zaouiat Ahansal,0.0,Zrizer,0.0,Taounate,75.0,False,
345,Od Tahar,Taounate,Fès-Meknès,2,Oued Jemaa,0.556,Oulad Amghar,0.7,Al Hoceïma,75.04159733777038,False,
346,Od Soltane,Sidi Kacem,Rabat-Salé-Kénitra,2,Oulad Nouel,0.476,Dar Oum Soltane,0.72,Meknès,75.08319467554077,False,
347,Ennakhil,Al Haouz,Marrakech-Safi,2,Ighil,0.462,Ben Khlil,0.706,Tan-Tan,75.12479201331115,False,
348,,,Fès-Meknès,2,,0.0,,0.0,,75.16638935108153,False,
349,Mokrisset,Ouezzane,Tanger-Tétouan-Al Hoceïma,2,Lamrabih,0.353,Moqrisset,0.889,Chefchaouen,75.20798668885192,False,
350,Ouidane,Al Haouz,Marrakech-Safi,2,Ouirgane,0.8,Al Ouidane,0.824,Marrakech,75.2495840266223,False,
351,Oued elabid,Azilal,Béni Mellal-Khénifra,2,Ouaoula,0.444,Oued Laou,0.7,Tétouan,75.29118136439268,False,
352,Oued Romman,Meknès,Fès-Meknès,2,Oued Jdida,0.571,Oued Ifrane,0.727,Khénifra,75.33277870216307,False,
353,Medina,El Kelâa des Sraghna,Marrakech-Safi,2,Hiadna,0.5,Médiouna,0.857,Nouaceur,75.37437603993344,False,
354,Boukourra,Ouezzane,Tanger-Tétouan-Al Hoceïma,2,Kalaat Booqorra,0.5,Bouskoura,0.889,Nouaceur,75.41597337770382,False,
355,Ouled Boukhadou,Fquih Ben Salah,Béni Mellal-Khénifra,2,Ouled Bourahmoune,0.75,Oulad Boughadi,0.759,Khouribga,75.4575707154742,False,
356,tlat boubker,Driouch,Oriental,2,Oulad Boubker,0.8,Oulad Boubker,0.8,Driouch,75.49916805324459,False,
357,Oulad-Tahar,Taounate,Fès-Meknès,2,Oulad Daoud,0.636,Oulad Amghar,0.87,Al Hoceïma,75.54076539101497,False,
358,Boukorra,Ouezzane,Tanger-Tétouan-Al Hoceïma,2,Kalaat Booqorra,0.522,Bouskoura,0.824,Nouaceur,75.58236272878536,False,
359,"Q,Industriel",Agadir-Ida Ou Tanane,Souss-Massa,2,Aqesri,0.444,Tindine,0.526,Taroudant,75.62396006655574,False,
360,tissli,Tinghir,Drâa-Tafilalet,2,Tilmi,0.727,Tissint,0.769,Tata,75.66555740432612,False,
361,Ourbiâa,Béni Mellal,Béni Mellal-Khénifra,2,Naour,0.5,Ourika,0.769,Al Haouz,75.7071547420965,False,
362,Oum bakht,Béni Mellal,Béni Mellal-Khénifra,2,Oulad M'Barek,0.636,Ait Oum El Bekht,0.64,Khénifra,75.74875207986689,False,
363,Boukora,Ouezzane,Tanger-Tétouan-Al Hoceïma,2,Bni Oual,0.533,Bouskoura,0.875,Nouaceur,75.79034941763727,False,
364,Qods1,Taza,Fès-Meknès,2,Oued Amlil,0.267,Adis,0.444,Tata,75.83194675540766,False,
365,Qods,Taza,Fès-Meknès,2,Oued Amlil,0.286,Adis,0.5,Tata,75.87354409317804,False,
366,Igraouen,Khouribga,Béni Mellal-Khénifra,2,Mrizigue,0.5,Imaouen,0.8,Taroudant,75.91514143094842,False,
367,Krona,Driouch,Oriental,2,Ourdana,0.5,Tekna,0.6,Sidi Kacem,75.95673876871881,False,
368,A chefk,Al Haouz,Marrakech-Safi,2,Ahl Tifnoute,0.316,Ain Chkef,0.75,Fès,75.99833610648919,False,
369,Krakra,Settat,Casablanca-Settat,2,Rima,0.4,Hrara,0.727,Safi,76.03993344425957,False,
370,Ribat Elkher,Sefrou,Fès-Meknès,2,Dar El Hamra,0.5,Mers El Kheir,0.64,Skhirate-Témara,76.08153078202994,False,
371,B S jbel,Nador,Oriental,2,Bni Sidel Jbel,0.727,Bni Sidel Jbel,0.727,Nador,76.12312811980033,False,
372,RassLoued,Taounate,Fès-Meknès,2,Ras El Oued,0.8,Ras El Oued,0.8,Taounate,76.16472545757071,False,
373,Bouhmed,Chefchaouen,Tanger-Tétouan-Al Hoceïma,2,Tabouda,0.571,Bouhmame,0.8,Sidi Bennour,76.2063227953411,False,
374,Ras Alam,Moulay Yacoub,Fès-Meknès,2,Sebt Loudaya,0.2,Ras Al Ain,0.778,Settat,76.24792013311148,False,
375,S-A-Ouhamd,Essaouira,Marrakech-Safi,2,Sidi H'Mad Ou Hamed,0.69,Sidi H'Mad Ou Hamed,0.69,Essaouira,76.28951747088186,False,
376,Azlaf,Driouch,Oriental,2,Tleta Azlef,0.5,Azla,0.889,Tétouan,76.33111480865225,False,
377,"S,Fasma",Al Haouz,Marrakech-Safi,2,Sti Fadma,0.625,Sti Fadma,0.625,Al Haouz,76.37271214642263,False,
378,S'Rima,Taounate,Fès-Meknès,2,Rghioua,0.462,Rima,0.8,Settat,76.41430948419301,False,
379,S A Hamd,Essaouira,Marrakech-Safi,2,Sidi H'Mad Ou Hamed,0.593,Ras Ain Rhamna,0.636,Marrakech,76.4559068219634,False,
380,Sab,Moulay Yacoub,Fès-Meknès,2,Sidi El Abed,0.4,Sabbah,0.667,Skhirate-Témara,76.49750415973378,False,
381,Sab,Azilal,Béni Mellal-Khénifra,2,Tabia,0.5,Sabbah,0.667,Skhirate-Témara,76.53910149750416,False,
382,,Larache,Tanger-Tétouan-Al Hoceïma,2,Zouada,0.0,,0.0,,76.58069883527455,False,
383,S.Redouane,Sidi Kacem,Rabat-Salé-Kénitra,2,Oulad Nouel,0.476,Sidi Redouane,0.783,Ouezzane,76.62229617304493,False,
384,Ghorm Alem,Béni Mellal,Béni Mellal-Khénifra,2,Oulad M'Barek,0.435,Laghoualem,0.7,Benslimane,76.66389351081531,False,
385,As Jbel,Tinghir,Drâa-Tafilalet,2,Assoul,0.462,Jbiel,0.667,El Kelâa des Sraghna,76.7054908485857,False,
386,Gfifat,Taroudant,Souss-Massa,2,Freija,0.5,Lagfifat,0.857,Chtouka-Aït Baha,76.74708818635607,False,
387,Arroui,Nador,Oriental,2,Al Aroui,0.714,Azrou,0.727,Ifrane,76.78868552412645,False,
388,Ain dorrij,Ouezzane,Tanger-Tétouan-Al Hoceïma,2,Ain Dfali,0.632,Aïn Orma,0.667,Meknès,76.83028286189683,False,
389,Aoulos,Taroudant,Souss-Massa,2,Aoulouz,0.769,Aoulouz,0.769,Taroudant,76.87188019966722,False,
390,Jiyarin,Taza,Fès-Meknès,2,Jbarna,0.615,Bni Yagrine,0.667,Settat,76.9134775374376,False,
391,Sgangan,Nador,Oriental,2,Zeghanghane,0.667,Sgamna,0.769,Khouribga,76.95507487520798,False,
392,"B,Ounjel",Taounate,Fès-Meknès,2,Bouadel,0.667,Bouadel,0.667,Taounate,76.99667221297837,False,
393,Lkrakra,Settat,Casablanca-Settat,2,Oulad Freiha,0.316,Laqraqra,0.667,Fquih Ben Salah,77.03826955074875,False,
