province,region,annee,mois,cas_predits,ci_lower_95,ci_upper_95
Agadir-Ida Ou Tanane,Souss-Massa,2029,7,0.3197854134837219,0.0,0.9127885902831633
Agadir-Ida Ou Tanane,Souss-Massa,2029,8,0.3151720296762691,0.0,0.9035910191597523
Agadir-Ida Ou Tanane,Souss-Massa,2029,9,0.3150739723824054,0.0,0.9033960630949052
Agadir-Ida Ou Tanane,Souss-Massa,2029,10,0.3180025137073358,0.0,0.909240270668415
Agadir-Ida Ou Tanane,Souss-Massa,2029,11,0.31117747841822396,0.0,0.8956098822854984
Agadir-Ida Ou Tanane,Souss-Massa,2029,12,0.31400194992979,0.0,0.9012567410033315
Agadir-Ida Ou Tanane,Souss-Massa,2030,1,0.31248410063526605,0.0,0.8982232735454283
Agadir-Ida Ou Tanane,Souss-Massa,2030,2,0.3097398962225578,0.0,0.8927317410549483
Agadir-Ida Ou Tanane,Souss-Massa,2030,3,0.3120037062745532,0.0,0.8972626926725003
Agadir-Ida Ou Tanane,Souss-Massa,2030,4,0.32245092497199984,0.0,0.9180874265065191
Agadir-Ida Ou Tanane,Souss-Massa,2030,5,0.31753126948191013,0.0,0.908300095118863
Agadir-Ida Ou Tanane,Souss-Massa,2030,6,0.3148541060367669,0.0,0.9029571379460629
Agadir-Ida Ou Tanane,Souss-Massa,2030,7,0.3197854134837219,0.0,0.9127885902831633
Agadir-Ida Ou Tanane,Souss-Massa,2030,8,0.3143878625538495,0.0,0.9020266364376972
Agadir-Ida Ou Tanane,Souss-Massa,2030,9,0.31511700346830457,0.0,0.9034819399396601
Agadir-Ida Ou Tanane,Souss-Massa,2030,10,0.3180025137073358,0.0,0.909240270668415
Agadir-Ida Ou Tanane,Souss-Massa,2030,11,0.31117747841822396,0.0,0.8956098822854984
Agadir-Ida Ou Tanane,Souss-Massa,2030,12,0.31400194992979,0.0,0.9012567410033315
Agadir-Ida Ou Tanane,Souss-Massa,2031,1,0.31244884674208695,0.0,0.8981528768600405
Agadir-Ida Ou Tanane,Souss-Massa,2031,2,0.3097398962225578,0.0,0.8927317410549483
Agadir-Ida Ou Tanane,Souss-Massa,2031,3,0.3120037062745532,0.0,0.8972626926725003
Agadir-Ida Ou Tanane,Souss-Massa,2031,4,0.32246148215002285,0.0,0.9181083444427747
Agadir-Ida Ou Tanane,Souss-Massa,2031,5,0.31753126948191013,0.0,0.908300095118863
Agadir-Ida Ou Tanane,Souss-Massa,2031,6,0.3148644697509004,0.0,0.9029778307030409
Agadir-Ida Ou Tanane,Souss-Massa,2031,7,0.31983065206533673,0.0,0.9128783413329016
Agadir-Ida Ou Tanane,Souss-Massa,2031,8,0.3143878625538495,0.0,0.9020266364376972
Agadir-Ida Ou Tanane,Souss-Massa,2031,9,0.3151331769285477,0.0,0.9035141816299586
Agadir-Ida Ou Tanane,Souss-Massa,2031,10,0.317999658887604,0.0,0.9092345991970534
Agadir-Ida Ou Tanane,Souss-Massa,2031,11,0.3111981109997985,0.0,0.8956511469351995
Agadir-Ida Ou Tanane,Souss-Massa,2031,12,0.31400176878743535,0.0,0.9012563799978981
Agadir-Ida Ou Tanane,Souss-Massa,2032,1,0.31244719418429323,0.0,0.898149572272289
Agadir-Ida Ou Tanane,Souss-Massa,2032,2,0.3097398962225578,0.0,0.8927317410549483
Agadir-Ida Ou Tanane,Souss-Massa,2032,3,0.31204826973435706,0.0,0.8973518995236686
Agadir-Ida Ou Tanane,Souss-Massa,2032,4,0.32246148215002285,0.0,0.9181083444427747
Agadir-Ida Ou Tanane,Souss-Massa,2032,5,0.3175244306401516,0.0,0.9082864939730526
Agadir-Ida Ou Tanane,Souss-Massa,2032,6,0.3148644697509004,0.0,0.9029778307030409
Agadir-Ida Ou Tanane,Souss-Massa,2032,7,0.31968548233681454,0.0,0.9125901835675463
Agadir-Ida Ou Tanane,Souss-Massa,2032,8,0.313514711582756,0.0,0.900283137431403
Agadir-Ida Ou Tanane,Souss-Massa,2032,9,0.3151325717318111,0.0,0.9035129740151892
Agadir-Ida Ou Tanane,Souss-Massa,2032,10,0.317999658887604,0.0,0.9092345991970534
Agadir-Ida Ou Tanane,Souss-Massa,2032,11,0.31129838988043435,0.0,0.8958517579437427
Agadir-Ida Ou Tanane,Souss-Massa,2032,12,0.31400176878743535,0.0,0.9012563799978981
Agadir-Ida Ou Tanane,Souss-Massa,2033,1,0.31234471358732396,0.0,0.8979447665603182
Agadir-Ida Ou Tanane,Souss-Massa,2033,2,0.3098421552679175,0.0,0.8929365800624885
Agadir-Ida Ou Tanane,Souss-Massa,2033,3,0.31204826973435706,0.0,0.8973518995236686
Agadir-Ida Ou Tanane,Souss-Massa,2033,4,0.32246148215002285,0.0,0.9181083444427747
Agadir-Ida Ou Tanane,Souss-Massa,2033,5,0.3175244306401516,0.0,0.9082864939730526
Agadir-Ida Ou Tanane,Souss-Massa,2033,6,0.3148644697509004,0.0,0.9029778307030409
Agadir-Ida Ou Tanane,Souss-Massa,2033,7,0.31870203650626044,0.0,0.9106345293510023
Agadir-Ida Ou Tanane,Souss-Massa,2033,8,0.313514711582756,0.0,0.900283137431403
Agadir-Ida Ou Tanane,Souss-Massa,2033,9,0.3151334071159748,0.0,0.9035146371677616
Agadir-Ida Ou Tanane,Souss-Massa,2033,10,0.317999658887604,0.0,0.9092345991970534
Agadir-Ida Ou Tanane,Souss-Massa,2033,11,0.31134326917784144,0.0,0.8959415301531204
Agadir-Ida Ou Tanane,Souss-Massa,2033,12,0.31400176878743535,0.0,0.9012563799978981
Agadir-Ida Ou Tanane,Souss-Massa,2034,1,0.31234471358732396,0.0,0.8979447665603182
Agadir-Ida Ou Tanane,Souss-Massa,2034,2,0.30981502821029844,0.0,0.8928822342228673
Agadir-Ida Ou Tanane,Souss-Massa,2034,3,0.31211235703440654,0.0,0.8974801977445053
Agadir-Ida Ou Tanane,Souss-Massa,2034,4,0.32246148215002285,0.0,0.9181083444427747
Agadir-Ida Ou Tanane,Souss-Massa,2034,5,0.3175155518680015,0.0,0.9082687657479439
Agadir-Ida Ou Tanane,Souss-Massa,2034,6,0.3148732628542815,0.0,0.9029953796809495
Agadir-Ida Ou Tanane,Souss-Massa,2034,7,0.31871211840262587,0.0,0.910654616383421
Agadir-Ida Ou Tanane,Souss-Massa,2034,8,0.3129033881122784,0.0,0.8990621680345734
Agadir-Ida Ou Tanane,Souss-Massa,2034,9,0.3151334071159748,0.0,0.9035146371677616
Agadir-Ida Ou Tanane,Souss-Massa,2034,10,0.3179850839597129,0.0,0.9092055669451973
Agadir-Ida Ou Tanane,Souss-Massa,2034,11,0.31137129795685853,0.0,0.8959976068228599
Agadir-Ida Ou Tanane,Souss-Massa,2034,12,0.3141806941945221,0.0,0.9016139625686267
Agadir-Ida Ou Tanane,Souss-Massa,2035,1,0.31234471358732396,0.0,0.8979447665603182
Agadir-Ida Ou Tanane,Souss-Massa,2035,2,0.309843742640746,0.0,0.892939760804099
Agadir-Ida Ou Tanane,Souss-Massa,2035,3,0.31211235703440654,0.0,0.8974801977445053
Agadir-Ida Ou Tanane,Souss-Massa,2035,4,0.32246148215002285,0.0,0.9181083444427747
Agadir-Ida Ou Tanane,Souss-Massa,2035,5,0.317511637169223,0.0,0.9082609714660101
Agadir-Ida Ou Tanane,Souss-Massa,2035,6,0.3148732820475764,0.0,0.9029954180179895
Agadir-Ida Ou Tanane,Souss-Massa,2035,7,0.31871281890164915,0.0,0.910656007012179
Agadir-Ida Ou Tanane,Souss-Massa,2035,8,0.31290401267653223,0.0,0.89906341383442
Agadir-Ida Ou Tanane,Souss-Massa,2035,9,0.3151521319675038,0.0,0.9035520014302384
Agadir-Ida Ou Tanane,Souss-Massa,2035,10,0.3179850839597129,0.0,0.9092055669451973
Agadir-Ida Ou Tanane,Souss-Massa,2035,11,0.31137129795685853,0.0,0.8959976068228599
Agadir-Ida Ou Tanane,Souss-Massa,2035,12,0.3141816164304052,0.0,0.9016157808965477
Agadir-Ida Ou Tanane,Souss-Massa,2036,1,0.31234471358732396,0.0,0.8979447665603182
Agadir-Ida Ou Tanane,Souss-Massa,2036,2,0.30981970131109826,0.0,0.8928916726345371
Agadir-Ida Ou Tanane,Souss-Massa,2036,3,0.31211235703440654,0.0,0.8974801977445053
Agadir-Ida Ou Tanane,Souss-Massa,2036,4,0.32246148215002285,0.0,0.9181083444427747
Agadir-Ida Ou Tanane,Souss-Massa,2036,5,0.317511637169223,0.0,0.9082609714660101
Agadir-Ida Ou Tanane,Souss-Massa,2036,6,0.31487508835907607,0.0,0.9029990216676812
Agadir-Ida Ou Tanane,Souss-Massa,2036,7,0.3190334890186933,0.0,0.9112951550616382
Agadir-Ida Ou Tanane,Souss-Massa,2036,8,0.31308449255253085,0.0,0.8994242565517829
Agadir-Ida Ou Tanane,Souss-Massa,2036,9,0.31515505298690766,0.0,0.9035578350260622
Agadir-Ida Ou Tanane,Souss-Massa,2036,10,0.3179721247164379,0.0,0.9091797616397306
Agadir-Ida Ou Tanane,Souss-Massa,2036,11,0.31137129795685853,0.0,0.8959976068228599
Agadir-Ida Ou Tanane,Souss-Massa,2036,12,0.3141976793925302,0.0,0.9016477874551179
Agadir-Ida Ou Tanane,Souss-Massa,2037,1,0.31233997304196215,0.0,0.897935286205738
