province,total_cas,n_obs,pop_mean,temp_moy,precip_mm,humidite_pct,aridity_index,elevation_m,lai,n_communes,pop_total_prov,incidence_100k_an,zone_label,statut_vecteur
Oujda-Angad,0.0,1440,,15.883555555555555,35.2173125,62.02847222222222,8.398121715611126,769.69,5.2671,10,561286.0,0.0,Plaine/Plateau,non_documente
Rabat,2.0,288,,18.329652777777778,37.76986111111111,74.58263888888888,8.778258930857595,113.90000000000002,5.237,2,3468.0,4.805843906189927,Plaine/Plateau,non_documente
Rehamna,11.0,2160,,18.634555555555554,21.453055555555554,60.23791666666666,4.940397283739401,385.0466666666667,5.883533333333333,15,229492.0,0.39943295045869426,Plaine/Plateau,non_documente
Safi,32.0,3312,,18.425024154589373,24.046086956521737,68.8645229468599,5.499883611481909,160.88695652173914,2.8709565217391306,23,679286.0,0.3925690602583693,Plaine/Plateau,non_documente
Salé,2.0,576,,18.22486111111111,38.244618055555556,74.39826388888889,8.893410572847909,130.525,5.302499999999999,4,140061.0,0.11899577089030255,Plaine/Plateau,non_documente
Sefrou,589.0,3024,,15.991425264550264,55.596841931216936,58.860416666666666,13.497637488117487,918.9285714285714,5.6110476190476195,21,264097.0,18.585343011595484,Montagne/Atlas,confirme
Settat,18.0,4320,,18.476060185185187,27.664710648148148,61.51215277777778,6.378308349307227,414.87,3.754633333333333,30,464598.0,0.3228597626335025,Plaine/Plateau,confirme
Sidi Bennour,0.0,4032,,18.449479166666666,24.485,68.8295386904762,5.60370614795354,174.28214285714284,5.878107142857142,28,544839.0,0.0,Plaine/Plateau,non_documente
Sidi Ifni,4.0,1296,,18.420078125,19.185190972222223,63.71284722222222,4.349568407176971,337.2,4.3662222222222224,9,61704.0,0.5402134923721854,Plaine/Plateau,non_documente
Sidi Kacem,345.0,2016,,19.056160714285713,45.85094742063492,63.073859126984125,10.45333274181227,201.3357142857143,4.796857142857143,14,252580.0,11.382532267004514,Plaine/Plateau,indice_indirect
Sidi Slimane,41.0,3024,,18.952420634920635,43.186527777777776,67.29031084656084,9.909085426539312,63.985714285714295,5.703761904761905,21,526950.0,0.6483853623050889,Plaine/Plateau,non_documente
Skhirate-Témara,1.0,2016,,17.98346726190476,36.000972222222224,70.01994047619048,8.405745667655063,215.4,5.530857142857143,14,809761.0,0.010291102354069081,Plaine/Plateau,non_documente
Tan-Tan,0.0,1296,,19.534220679012346,8.087021604938272,62.757716049382715,1.788609018316643,166.88888888888889,0.13333333333333333,9,95968.0,0.0,Plaine/Plateau,non_documente
Tanger-Assilah,7.0,1728,,17.638840277777778,60.810361111111106,73.60993055555556,14.225228723834052,98.49166666666667,7.14475,12,187256.0,0.3115164979137295,Plaine/Plateau,non_documente
Taounate,877.0,8496,,16.911870291902073,60.181726694915255,61.610310734463276,14.304328242566259,662.0745762711864,4.743203389830509,59,661270.0,11.051965662034167,Montagne/Atlas,confirme
Taourirt,4.0,1152,,17.186319444444443,25.290477430555555,55.26310763888889,5.967418249952832,716.6624999999999,5.4986250000000005,8,144585.0,0.23054489285426105,Plaine/Plateau,indice_indirect
Tarfaya,0.0,432,,20.358819444444446,5.078935185185185,63.994675925925925,1.0925356460348536,38.733333333333334,0.138,3,11816.0,0.0,Plaine/Plateau,non_documente
Taroudant,333.0,8784,,18.763357240437156,26.069045992714024,42.94409153005465,5.972815614800584,943.7786885245902,4.738229508196722,61,555078.0,4.999297396041637,Montagne/Atlas,non_documente
Tata,14.0,3600,,19.664755555555555,13.261119444444445,32.780166666666666,3.084631090276111,1077.484,2.06312,25,122427.0,0.9529488320931385,Aride/Saharien,indice_indirect
Taza,692.0,5184,,16.202802854938273,48.94782407407407,58.251543209876544,11.848182478137797,924.8166666666666,4.725305555555556,36,482929.0,11.941023766778692,Montagne/Atlas,confirme
Tinghir,906.0,4464,,15.651509856630824,17.647759856630827,34.56402329749103,4.457043114111808,1730.6645161290323,5.023387096774194,31,377049.0,20.023922620136904,Montagne/Atlas,confirme
Tiznit,5.0,3744,,18.28441388888889,20.698530555555557,53.43727777777778,4.691578478202776,675.15,2.7270000000000003,26,231797.0,0.1797549867628428,Plaine/Plateau,non_documente
Tétouan,41.0,2592,,16.878239379084967,61.55568218954248,74.73815359477125,14.625045418378182,257.8333333333333,5.44088888888889,18,648286.0,0.527030765228104,Plaine/Plateau,confirme
Youssoufia,3.0,2736,,18.686315789473685,21.56062865497076,61.94901315789474,4.928482511363822,330.9421052631579,4.993578947368421,19,319012.0,0.07836695798277181,Plaine/Plateau,non_documente
Zagora,0.0,3024,,22.166828703703704,5.707503306878308,24.649900793650794,1.239842884501467,926.5,4.040380952380952,21,219817.0,0.0,Aride/Saharien,confirme
