rang,Commune,Province,n_cas,suggestion_meme_province,score_meme_province,suggestion_globale,score_globale,province_suggestion_globale,cumsum_pct,DECISION_HUMAINE
57,S K,Sidi Kacem,8,Sidi Kacem,0.462,Saka,0.571,Guercif,26.37114951164538,
58,Lakhmiss Dadès,Ouarzazate,7,Ghassate,0.455,Souk Lakhmis Dades,0.812,Tinghir,26.63410969196093,
59,imzilne,Tinghir,7,Imider,0.615,Idmine,0.769,Agadir-Ida Ou Tanane,26.897069872276482,
60,Menara,Al Haouz,7,Amghras,0.462,Mnasra,0.833,Kénitra,27.160030052592035,
61,ait yassine,Tinghir,7,Ait Ouassif,0.727,Ait Yadine,0.857,Khemisset,27.422990232907587,
62,Beni sadden,Sefrou,7,Aït Seghrouchen,0.154,Bni Said,0.737,Tétouan,27.68595041322314,
63,"Q,militaire",Taza,7,Msila,0.5,Mzilate,0.556,Chichaoua,27.94891059353869,
64,S Y B Z,Taounate,7,Sidi Yahya Bni Zeroual,0.483,Sidi Yahya Bni Zeroual,0.483,Taounate,28.211870773854244,
65,hanchan,Essaouira,7,El Hanchane,0.778,El Hanchane,0.778,Essaouira,28.474830954169796,
66,tabrkhachte,Tinghir,7,Souk Lakhmis Dades,0.345,Tamchachate,0.727,El Hajeb,28.73779113448535,
67,Ighilnoumgoune,Tinghir,7,Ikniouen,0.455,Ighil N'Oumgoun,0.897,Azilal,29.0007513148009,
68,Dar kebdani,Nador,7,Arekmane,0.526,Dar El Kebdani,0.88,Driouch,29.263711495116453,
69,Bab Wandar,Taounate,7,Jbabra,0.5,Bab Taza,0.667,Chefchaouen,29.526671675432006,
70,Chtioui,Fquih Ben Salah,7,Bni Oukil,0.5,Tiouli,0.769,Jerada,29.789631855747558,
71,Sebbab,Taza,7,Smià,0.4,Assebbab,0.857,Guercif,30.05259203606311,
72,Hsseya,Tinghir,7,Toudgha Essoufla,0.364,H'Ssyia,0.769,Zagora,30.315552216378663,
73,Somaa,Béni Mellal,7,Oulad Gnaou,0.375,Smara,0.8,Es-Semara,30.578512396694215,
74,Tikiouine,Agadir-Ida Ou Tanane,7,Imsouane,0.588,Tizounine,0.778,Tata,30.841472577009768,
75,Bin jradi,Taza,6,Bab Boudir,0.421,Bir Jdid,0.706,Nouaceur,31.06686701728024,
76,Ras Alma,Moulay Yacoub,6,Moulay Abdelkrim,0.417,Ras El Ma,0.824,Berkane,31.292261457550715,
77,"Bouzemlane,c",Taza,6,Bouyablane,0.636,Boulemane,0.762,Boulemane,31.517655897821186,
78,Al wahda,Taza,6,Outat El Haj,0.4,Lahdar,0.714,Youssoufia,31.74305033809166,
79,Boutaghrar,Fquih Ben Salah,6,Tachraft,0.556,Boughriba,0.737,Berkane,31.968444778362134,
80,O Akalay,Agadir-Ida Ou Tanane,6,Adaghas,0.4,Saadla,0.571,Safi,32.193839218632604,
81,Tizentest,Taroudant,6,Tizi N'Test,0.8,Tizi N'Test,0.8,Taroudant,32.41923365890308,
82,Sk,Sidi Kacem,6,Sidi Kacem,0.333,Saka,0.667,Guercif,32.64462809917355,
83,Bouazayer,Azilal,6,Taounza,0.5,Ouazzane,0.706,Ouezzane,32.87002253944403,
84,A S Jbel sofla,Tinghir,6,Ait Sedrate Jbel El Soufla,0.7,Ait Sedrate Jbel El Soufla,0.7,Tinghir,33.0954169797145,
85,"A,chefk",Al Haouz,6,Ahl Tifnoute,0.316,Tancherfi,0.625,Jerada,33.32081141998497,
86,Ghorm El Alem,Béni Mellal,6,Foum El Anceur,0.593,Laghoualem,0.609,Benslimane,33.54620586025545,
87,slilou,Tinghir,6,Assoul,0.5,Smimou,0.667,Essaouira,33.77160030052592,
88,amajaw,Driouch,6,Amejjaou,0.571,Majjat,0.667,Chichaoua,33.996994740796396,
89,Ajdir,Taza,6,Bab Boudir,0.533,Ajdir 2,0.833,Al Hoceïma,34.222389181066866,
90,Municipalité,Tétouan,6,Mallalienne,0.435,Mzilate,0.526,Chichaoua,34.447783621337344,
91,Ghar Nhal,Béni Mellal,6,Had Bradia,0.421,Hjar Ennhal,0.8,Tanger-Assilah,34.673178061607814,
92,M.B.Mellal,Béni Mellal,6,Beni Mellal,0.667,Beni Mellal,0.667,Béni Mellal,34.898572501878284,
93,Bibane,Taounate,5,El Bibane,0.8,El Bibane,0.8,Taounate,35.08640120210368,
94,tighrmatine,Tinghir,5,Tilmi,0.5,Ighzrane,0.737,Taza,35.274229902329076,
95,"A,Maatouf",Taounate,5,Ain Maatouf,0.8,Ain Maatouf,0.8,Taounate,35.46205860255447,
