classe_altitude_rank,classe_altitude,R2,MAE,RMSE,Spearman,n_train,n_test,cas_cumules
0,Plaine/Cotier,-0.18562805668675764,0.0843400406924207,0.2675276245211443,0.1875235006556881,46117,15516,1995
1,Plateau,0.6716150909274019,0.21687389107837457,0.8318399516283181,0.2640668682898665,57780,19440,8995
2,Moyenne montagne,-0.07531818235654653,0.14779861242278086,0.5095911443821711,0.24698057585760108,32849,11052,2582
3,Haute montagne,0.21691719495378647,0.2685676861097238,1.0267285613763872,0.30527979948266787,21507,7236,3643
