rang,Commune_origine,Commune,Province,n_cas,DECISION_HUMAINE,niveau_resolution,suggestion_meme_province,score_meme_province,suggestion_globale,score_globale,province_suggestion_globale,cumsum_pct
371,Hay khatabi rue 4 n°32,Nador,Nador,1,Nador,province,Hassi Berkane,0.353,Al Kharroub,0.375,Tétouan,53.352559480894016
372,Hay hassani,Al Haouz,Al Haouz,1,Al Haouz,province,Assaki,0.588,Bni Hassane,0.636,Azilal,53.42465753424658
373,Hay elyasmine,Sidi Kacem,Sidi Kacem,1,Sidi Kacem,province,Chbanate,0.286,Ras El Ain,0.609,Youssoufia,53.49675558759913
374,Hay eljadid,Larache,Larache,1,Larache,province,Bahhara Oulad Ayad,0.483,El Jadida,0.7,El Jadida,53.568853640951694
375,Hay Taslouine,Agadir-Ida Ou Tanane,Agadir-Ida Ou Tanane,1,Agadir-Ida Ou Tanane,province,Imsouane,0.476,Taliouine,0.727,Tata,53.640951694304256
376,Hay Sidi Daoud,Inezgane-Aït Melloul,Inezgane-Aït Melloul,1,Inezgane-Aït Melloul,province,Oulad Dahou,0.56,Ait Sidi Daoud,0.857,Marrakech,53.71304974765681
377,Hay Salam,Meknès,Meknès,1,Meknès,province,Ait Yaazem,0.526,Had Soualem,0.7,Nouaceur,53.78514780100937
378,Hay Mohammadi,Béni Mellal,Béni Mellal,1,Béni Mellal,province,Sidi Hammadi,0.64,Mohammédia,0.696,Mohammedia,53.857245854361935
379,Houciema,Al Hoceïma,Al Hoceïma,1,Al Hoceïma,province,Al Hoceïma,0.667,Haouzia,0.667,El Jadida,53.92934390771449
380,Houara od rahou,Taza,Taza,1,Taza,province,Oulad Bourima,0.5,Houara Oulad Raho,0.875,Guercif,54.00144196106705
381,De Passage,Agadir-Ida Ou Tanane,Agadir-Ida Ou Tanane,1,Agadir-Ida Ou Tanane,province,Ait Aissi Ihahane,0.444,Sidi Aissa,0.6,Safi,54.07354001441961
382,Dchar Ben Dibane,Larache,Larache,1,Larache,province,Ksar el-Kebir,0.345,Dar El Kebdani,0.533,Driouch,54.14563806777217
383,Dar-Louhra,Taounate,Taounate,1,Taounate,province,Mançoura,0.556,Daoura,0.75,Tarfaya,54.21773612112473
384,DD Mohamed,Driouch,Driouch,1,Driouch,province,M'Hajer,0.471,Mohammédia,0.7,Mohammedia,54.28983417447729
385,D.Tabarine,Tiznit,Tiznit,1,Tiznit,province,Ibdar,0.4,Tazarine,0.778,Taza,54.36193222782985
386,D.Jihadia,Tata,Tata,1,Tata,province,Adis,0.462,Bni Hadifa,0.632,Al Hoceïma,54.43403028118241
387,D.Jihadia,Al Haouz,Al Haouz,1,Al Haouz,province,Sti Fadma,0.444,Bni Hadifa,0.632,Al Hoceïma,54.50612833453497
388,D.Irahalen,Ouarzazate,Ouarzazate,1,Ouarzazate,province,Siroua,0.375,Irohalen,0.778,Chichaoua,54.578226387887526
389,D ouar Bénimalek,Ouezzane,Ouezzane,1,Ouezzane,province,Beni Malek,0.692,Beni Malek,0.692,Ouezzane,54.65032444124009
390,D G,Sidi Kacem,Sidi Kacem,1,Sidi Kacem,province,Sidi Kacem,0.308,Madagh,0.444,Berkane,54.72242249459265
391,Corona,Driouch,Driouch,1,Driouch,province,Ourdana,0.615,Ourdana,0.615,Driouch,54.7945205479452
392,Coelma,Tétouan,Tétouan,1,Tétouan,province,Oued Laou,0.533,Goulmima,0.571,Errachidia,54.866618601297766
393,Cite Scolaire,Tétouan,Tétouan,1,Tétouan,province,Bni Said,0.476,Ain Chair,0.364,Figuig,54.93871665465032
394,Chourfa,Fquih Ben Salah,Fquih Ben Salah,1,Fquih Ben Salah,province,Tachraft,0.533,Chouafaa,0.8,Larache,55.01081470800288
395,Iwareden,Azilal,Azilal,1,Azilal,province,Aït Majden,0.556,Mibladen,0.625,Midelt,55.082912761355445
396,Issakssi,Azilal,Azilal,1,Azilal,province,Tisqi,0.462,Isseksi,0.8,Béni Mellal,55.155010814708
397,Irguita,Taroudant,Taroudant,1,Taroudant,province,Igli,0.545,Tizguite,0.667,Ifrane,55.22710886806056
398,Imouzar Kendr,Sefrou,Sefrou,1,Sefrou,province,Imouzzer Kandar,0.786,Imouzzer Kandar,0.786,Sefrou,55.29920692141312
399,Imgoune,Taroudant,Taroudant,1,Taroudant,province,Bigoudine,0.75,Imsouane,0.8,Agadir-Ida Ou Tanane,55.37130497476568
400,Imgharne,Ouarzazate,Ouarzazate,1,Ouarzazate,province,Idelsane,0.5,Ighzrane,0.75,Taza,55.44340302811824
401,Ikhourba,Béni Mellal,Béni Mellal,1,Béni Mellal,province,Boutferda,0.471,Khouribga,0.824,Khouribga,55.5155010814708
402,Ijfi,Driouch,Driouch,1,Driouch,province,Ifarni,0.6,Tifni,0.667,Azilal,55.58759913482336
403,Ihoudjjine,Azilal,Azilal,1,Azilal,province,Imi N'Oulaoune,0.417,Bigoudine,0.737,Taroudant,55.65969718817592
404,Ihoudjine,Azilal,Azilal,1,Azilal,province,Imi N'Oulaoune,0.435,Bigoudine,0.778,Taroudant,55.73179524152848
405,Ihchach,Essaouira,Essaouira,1,Essaouira,province,El Hanchane,0.444,Tichla,0.615,Aousserd,55.80389329488104
406,Ighrmloulne,Tinghir,Tinghir,1,Tinghir,province,Aghbalou N'Kerdous,0.483,Tighedouine,0.636,Al Haouz,55.8759913482336
407,Ighrem Amazdar,Tinghir,Tinghir,1,Tinghir,province,Taghzoute N'Ait Atta,0.412,Ighrem N'Ougdal,0.621,Ouarzazate,55.94808940158616
408,Idaouzemzème,Essaouira,Essaouira,1,Essaouira,province,Ida Ou Aazza,0.583,Ida Ou Moumen,0.64,Taroudant,56.02018745493872
409,Idaouzemzeme,Essaouira,Essaouira,1,Essaouira,province,Ida Ou Aazza,0.583,Ida Ou Moumen,0.64,Taroudant,56.09228550829128
410,Idaouguelloule,Essaouira,Essaouira,1,Essaouira,province,Sidi El Jazouli,0.483,Ida Ou Guelloul,0.897,Agadir-Ida Ou Tanane,56.16438356164384
411,Kalaa-Ourache,Taounate,Taounate,1,Taounate,province,Abdelghaya Souahel,0.645,Larache,0.7,Larache,56.23648161499639
412,Kalaa Sraghna,El Kelâa des Sraghna,El Kelâa des Sraghna,1,El Kelâa des Sraghna,province,El Kelâat Es-Sraghna,0.727,El Kelâat Es-Sraghna,0.727,El Kelâa des Sraghna,56.30857966834896
413,Kalaa Magoune,Ouarzazate,Ouarzazate,1,Ouarzazate,province,Amerzgane,0.364,Kalaat M'Gouna,0.815,Tinghir,56.38067772170152
414,Kaa Assrass,Chefchaouen,Chefchaouen,1,Chefchaouen,province,Al Hamra,0.421,Assaisse,0.632,Ouarzazate,56.45277577505407
415,K_Ba_Mohamed,Taounate,Taounate,1,Taounate,province,Sidi Haj M’hamed,0.519,Karia Ba Mohamed,0.714,Moulay Yacoub,56.52487382840663
416,K.Tadla,Béni Mellal,Béni Mellal,1,Béni Mellal,province,Kasba Tadla,0.667,Tamda,0.667,Rehamna,56.5969718817592
417,Jnan nokbi,Fès,Fès,1,Fès,province,Ain Bida,0.556,Jnane Bouih,0.667,Youssoufia,56.66906993511175
418,Jnan kastiyine,Larache,Larache,1,Larache,province,Ksar el-Kebir,0.296,Mrhassiyine,0.56,Meknès,56.74116798846431
419,Jnan Ward,Fès,Fès,1,Fès,province,Ain Kansra,0.421,Ain Harrouda,0.571,Médiouna,56.81326604181688
420,Jiha-Soufla,Taounate,Taounate,1,Taounate,province,Thar Es-Souk,0.522,Toudgha Essoufla,0.667,Tinghir,56.88536409516943
421,Jida,Tinghir,Tinghir,1,Tinghir,province,Tinejdad,0.5,Jaidate,0.727,Marrakech,56.95746214852199
422,Jerf lmlha,Sidi Kacem,Sidi Kacem,1,Sidi Kacem,province,Ain Jemaa,0.421,Jorf El Melha,0.783,Ouezzane,57.02956020187455
423,Jemeât old mimoun,Moulay Yacoub,Moulay Yacoub,1,Moulay Yacoub,province,Oulad Mimoun,0.621,Oulad Mimoun,0.621,Moulay Yacoub,57.10165825522711
424,Jamat sidi ghayat,Al Haouz,Al Haouz,1,Al Haouz,province,Sidi Badhaj,0.5,Zaouiat Sidi Hamza,0.686,Midelt,57.17375630857967
425,Jamaat Lamrasla,Safi,Safi,1,Safi,province,Lamrasla,0.696,Lamrasla,0.696,Safi,57.24585436193223
426,Jabriénne,Ouezzane,Ouezzane,1,Ouezzane,province,Aïn Béida,0.333,Jabria,0.667,Sidi Bennour,57.31795241528479
427,"Chatre III,Ait Taoukte",Agadir-Ida Ou Tanane,Agadir-Ida Ou Tanane,1,Agadir-Ida Ou Tanane,province,Ida Ou Kazzou,0.286,Tataoute,0.467,Taroudant,57.39005046863735
428,Charrate,Taounate,Taounate,1,Taounate,province,Zarkat,0.571,Cherrat,0.8,Benslimane,57.4621485219899
429,Charf Souani,Tanger-Assilah,Tanger-Assilah,1,Tanger-Assilah,province,Dar Chaoui,0.545,Charqaoua,0.667,Moulay Yacoub,57.53424657534247
430,Chahid Baha Rfaif,Sefrou,Sefrou,1,Sefrou,province,Ahl Sidi Lahcen,0.438,Had Bradia,0.519,Béni Mellal,57.60634462869503
431,Chahid Baba,Sefrou,Sefrou,1,Sefrou,province,Azzaba,0.471,Chahda,0.706,Safi,57.67844268204758
432,Cab,Chtouka-Aït Baha,Chtouka-Aït Baha,1,Chtouka-Aït Baha,province,Tabia,0.5,Chtaiba,0.6,El Kelâa des Sraghna,57.75054073540014
433,Béninsser,Nador,Nador,1,Nador,province,Beni Ansar,0.737,Beni Ansar,0.737,Nador,57.82263878875271
434,Béni assifan,Chefchaouen,Chefchaouen,1,Chefchaouen,province,Bni Selmane,0.609,Bni Hassane,0.783,Azilal,57.89473684210526
435,Bureau Ikaouen,Tinghir,Tinghir,1,Tinghir,province,Ikniouen,0.545,Askaouen,0.636,Al Haouz,57.96683489545782
436,Brakt Lamine,Safi,Safi,1,Safi,province,Sebt Gzoula,0.435,Ras El Ain,0.636,Youssoufia,58.038932948810384
437,Bozamlane,Taza,Taza,1,Taza,province,Bouyablane,0.737,Bouyablane,0.737,Taza,58.11103100216294
438,Bouyafer,Nador,Nador,1,Nador,province,Bouarg,0.714,Sbouya,0.714,Sidi Ifni,58.1831290555155
439,Boumya,Khénifra,Khénifra,1,Khénifra,province,Oum Rabia,0.533,Sbouya,0.833,Sidi Ifni,58.25522710886806
440,Kcebia,Sidi Slimane,Sidi Slimane,1,Sidi Slimane,province,Kceibya,0.769,Kceibya,0.769,Sidi Slimane,58.32732516222062
441,Karouel,Azilal,Azilal,1,Azilal,province,Taounza,0.429,Tazroute,0.667,Chefchaouen,58.39942321557318
442,Karoil,Azilal,Azilal,1,Azilal,province,Azilal,0.5,Martil,0.667,Tétouan,58.47152126892574
