rang,Commune_origine,Commune,Province,n_cas,DECISION_HUMAINE,niveau_resolution,suggestion_meme_province,score_meme_province,suggestion_globale,score_globale,province_suggestion_globale,cumsum_pct
517,Mbarek El Bakay,Sefrou,Sefrou,1,Sefrou,province,Dar El Hamra,0.593,Dar El Hamra,0.593,Sefrou,63.8788752703677
518,Massira I,Taza,Taza,1,Taza,province,Msila,0.571,Massa,0.714,Tiznit,63.95097332372026
519,Massira 2,Taza,Taza,1,Taza,province,Msila,0.571,Massa,0.714,Tiznit,64.02307137707282
520,Massira 2,Béni Mellal,Béni Mellal,1,Béni Mellal,province,Kasba Tadla,0.4,Massa,0.714,Tiznit,64.09516943042537
521,Massira,Taza,Taza,1,Taza,province,Msila,0.667,Massa,0.833,Tiznit,64.16726748377793
522,Massira,Ouezzane,Ouezzane,1,Ouezzane,province,Masmouda,0.533,Massa,0.833,Tiznit,64.2393655371305
523,Menara,El Kelâa des Sraghna,El Kelâa des Sraghna,1,El Kelâa des Sraghna,province,Lamharra,0.571,Mnasra,0.833,Kénitra,64.31146359048306
524,Menara,Boulemane,Boulemane,1,Boulemane,province,Ermila,0.333,Mnasra,0.833,Kénitra,64.38356164383562
525,Bouhaira,Essaouira,Essaouira,1,Essaouira,province,Essaouira,0.588,Bouarfa,0.8,Figuig,64.45565969718818
526,Bougumez,Azilal,Azilal,1,Azilal,province,Ouaouizaght,0.316,Aouguenz,0.75,Chtouka-Aït Baha,64.52775775054073
527,Bougaala,Guelmim,Guelmim,1,Guelmim,province,Bouizakarne,0.526,Jouala,0.714,El Kelâa des Sraghna,64.59985580389329
528,Bouezgar,Essaouira,Essaouira,1,Essaouira,province,Bouzemmour,0.556,Bouarg,0.714,Nador,64.67195385724585
529,Bouderbala,Sefrou,Sefrou,1,Sefrou,province,Imouzzer Kandar,0.48,Boukraa,0.706,Laâyoune,64.74405191059842
530,Bouchibat,Al Hoceïma,Al Hoceïma,1,Al Hoceïma,province,Boudinar,0.588,Boughriba,0.778,Berkane,64.81614996395098
531,Bouchamate,Taounate,Taounate,1,Taounate,province,Bouadel,0.588,Bouhmame,0.778,Sidi Bennour,64.88824801730354
532,Boubria,Berkane,Berkane,1,Berkane,province,Boughriba,0.75,Ourika,0.769,Al Haouz,64.96034607065609
533,Boubaan,Nador,Nador,1,Nador,province,Bouarg,0.615,Boukraa,0.714,Laâyoune,65.03244412400865
534,Bouazoune,Taounate,Taounate,1,Taounate,province,Ouaouzgane,0.737,Boulaouane,0.842,Sidi Bennour,65.10454217736121
535,Bouaziar,Azilal,Azilal,1,Azilal,province,Azilal,0.571,Aziar,0.769,Agadir-Ida Ou Tanane,65.17664023071377
536,Bouallou,Taounate,Taounate,1,Taounate,province,Bouarouss,0.706,Bouhlou,0.8,Taza,65.24873828406633
537,Borj Mechkouk,Taounate,Taounate,1,Taounate,province,Bouhouda,0.476,Bir Mezoui,0.609,Khouribga,65.3208363374189
538,Bolaajlat,Taroudant,Taroudant,1,Taroudant,province,Lamhara,0.5,Sidi Boulaalam,0.609,Essaouira,65.39293439077144
539,Mtiwa,Chefchaouen,Chefchaouen,1,Chefchaouen,province,Amtar,0.6,Smià,0.667,Taza,65.465032444124
540,Mrabih,Sidi Kacem,Sidi Kacem,1,Sidi Kacem,province,Bab Tiouka,0.375,Lamrabih,0.857,Ouezzane,65.53713049747657
541,Moulay Bouchebla,Taounate,Taounate,1,Taounate,province,Moulay Ahmed Cherif,0.571,Moulay Bouchta,0.867,Moulay Yacoub,65.60922855082913
542,Mouklata,Tétouan,Tétouan,1,Tétouan,province,Oued Laou,0.471,Oulad Mtaa,0.667,Al Haouz,65.68132660418169
543,Moujahidin,Ouezzane,Ouezzane,1,Ouezzane,province,Bou Jedyane,0.476,Mouarid,0.706,Chichaoua,65.75342465753425
544,Mly El Hassane,Tétouan,Tétouan,1,Tétouan,province,Mallalienne,0.4,Fam El Hisn,0.64,Assa-Zag,65.8255227108868
545,Mhamid 1 N°31,Al Haouz,Al Haouz,1,Al Haouz,province,Oukaimeden,0.273,M'Hamid El Ghizlane,0.581,Zagora,65.89762076423936
546,Mghassyne,Meknès,Meknès,1,Meknès,province,Mrhassiyine,0.8,Mrhassiyine,0.8,Meknès,65.96971881759193
547,Mezdglia jorf,Sefrou,Sefrou,1,Sefrou,province,El Menzel,0.364,Mezguita,0.571,Ouarzazate,66.04181687094449
548,Mestitef,Sidi Kacem,Sidi Kacem,1,Sidi Kacem,province,Selfat,0.286,Mesti,0.769,Sidi Ifni,66.11391492429705
549,Mesnana,Guercif,Guercif,1,Guercif,province,Saka,0.545,Meskala,0.714,Essaouira,66.1860129776496
550,Merna,Tinghir,Tinghir,1,Tinghir,province,Imider,0.545,Merija,0.727,Jerada,66.25811103100216
551,Menzel,Sefrou,Sefrou,1,Sefrou,province,El Menzel,0.8,El Menzel,0.8,Sefrou,66.33020908435472
552,Menara,Tiznit,Tiznit,1,Tiznit,province,Massa,0.545,Mnasra,0.833,Kénitra,66.40230713770728
553,Menara,Taounate,Taounate,1,Taounate,province,Mezraoua,0.571,Mnasra,0.833,Kénitra,66.47440519105984
554,Menara,Fquih Ben Salah,Fquih Ben Salah,1,Fquih Ben Salah,province,Hel Merbaa,0.5,Mnasra,0.833,Kénitra,66.5465032444124
555,My Abdelkrim,Taounate,Taounate,1,Taounate,province,Moulay Ahmed Cherif,0.516,Moulay Abdelkrim,0.857,Moulay Yacoub,66.61860129776495
556,My Abdelkarim,Taounate,Taounate,1,Taounate,province,Moulay Ahmed Cherif,0.5,Moulay Abdelkrim,0.828,Moulay Yacoub,66.69069935111752
557,My Abdelkader,Sidi Kacem,Sidi Kacem,1,Sidi Kacem,province,Sidi Kacem,0.348,Moulay Abdelkader,0.867,Ouezzane,66.76279740447008
558,Bojediane,Larache,Larache,1,Larache,province,Sidi Lyamani,0.381,Bou Jedyane,0.8,Ouezzane,66.83489545782264
559,Bnimaati,Settat,Settat,1,Settat,province,Mniaa,0.615,Bni Ayat,0.75,Azilal,66.9069935111752
560,Bni ahmed,Al Hoceïma,Al Hoceïma,1,Al Hoceïma,province,Bni Hadifa,0.632,Ben Ahmed,0.889,Khouribga,66.97909156452776
561,Bni Saden,Sefrou,Sefrou,1,Sefrou,province,Bir Tamtam,0.421,Bni Said,0.824,Tétouan,67.05118961788031
562,Bni Koulla,Ouezzane,Ouezzane,1,Ouezzane,province,Bni Quolla,0.8,Bni Quolla,0.8,Ouezzane,67.12328767123287
563,Bni Amer,El Kelâa des Sraghna,El Kelâa des Sraghna,1,El Kelâa des Sraghna,province,Oulad Amer,0.556,Bni Ammart,0.778,Taounate,67.19538572458544
564,Bkakacha,Settat,Settat,1,Settat,province,Dar Chaffai,0.421,Ayacha,0.714,Larache,67.267483777938
565,Bit ghoulem,Taza,Taza,1,Taza,province,Bni Lent,0.526,Bni Faghloum,0.696,Chefchaouen,67.33958183129056
566,Bit Ghouleme,Taza,Taza,1,Taza,province,Bni Lent,0.5,Boulemane,0.667,Boulemane,67.41167988464312
567,Biban,Taounate,Taounate,1,Taounate,province,El Bibane,0.714,El Bibane,0.714,Taounate,67.48377793799567
568,Berraka,Nador,Nador,1,Nador,province,Hassi Berkane,0.5,Braksa,0.769,Khouribga,67.55587599134823
569,Berraca,Nador,Nador,1,Nador,province,Beni Ansar,0.353,Errachidia,0.706,Errachidia,67.62797404470079
570,My AHMED CHRIF,Al Hoceïma,Al Hoceïma,1,Al Hoceïma,province,Bni Hadifa,0.417,Moulay Ahmed Cherif,0.848,Taounate,67.70007209805335
571,N°114 H Biranzarane,Taroudant,Taroudant,1,Taroudant,province,Tinzart,0.4,Bir Anzarane,0.733,Oued Ed-Dahab,67.77217015140592
572,Nkheila,Settat,Settat,1,Settat,province,Mniaa,0.5,N'khila,0.857,Khouribga,67.84426820475848
573,"N 222,Hay Alfalah",Chtouka-Aït Baha,Chtouka-Aït Baha,1,Chtouka-Aït Baha,province,Ait Abdellah,0.483,Ait Harz Allah,0.581,El Hajeb,67.91636625811103
574,Médina,Safi,Safi,1,Safi,province,Loualidia,0.4,Médiouna,0.857,Nouaceur,67.98846431146359
575,Médina,Meknès,Meknès,1,Meknès,province,Oued Jdida,0.5,Médiouna,0.857,Nouaceur,68.06056236481615
576,Mzlat,Tiznit,Tiznit,1,Tiznit,province,Massa,0.4,Mzilate,0.833,Chichaoua,68.13266041816871
577,Mzioukat Chiadma,Essaouira,Essaouira,1,Essaouira,province,Zaouiat Ben Hmida,0.545,Zaouiat Cheikh,0.6,Khénifra,68.20475847152127
578,My youssef,Meknès,Meknès,1,Meknès,province,Ouislane,0.444,Ouled Youssef,0.696,Fquih Ben Salah,68.27685652487384
579,My driss,Meknès,Meknès,1,Meknès,province,Moulay Idriss Zarhoun,0.552,M'Diq,0.615,M'diq-Fnideq,68.34895457822638
580,My abdellah cherif,Ouezzane,Ouezzane,1,Ouezzane,province,Moulay Abdelkader,0.629,Moulay Abdellah Amghar,0.7,El Jadida,68.42105263157895
581,My El Hassan,Tétouan,Tétouan,1,Tétouan,province,Bni Arouss,0.364,Fam El Hisn,0.696,Assa-Zag,68.4931506849315
582,My Driss,Meknès,Meknès,1,Meknès,province,Moulay Idriss Zarhoun,0.552,M'Diq,0.615,M'diq-Fnideq,68.56524873828407
583,My Dris,Meknès,Meknès,1,Meknès,province,Moulay Idriss Zarhoun,0.5,M'Diq,0.667,M'diq-Fnideq,68.63734679163663
584,My Bouaazza,Khénifra,Khénifra,1,Khénifra,province,Ouaoumana,0.5,Moulay Bouazza,0.8,Khemisset,68.70944484498918
585,My Abdlkrim,Taounate,Taounate,1,Taounate,province,Moulay Ahmed Cherif,0.467,Moulay Abdelkrim,0.815,Moulay Yacoub,68.78154289834174
586,My Abdellah Chrif,Ouezzane,Ouezzane,1,Ouezzane,province,Moulay Abdelkader,0.588,Moulay Abdellah Amghar,0.718,El Jadida,68.8536409516943
587,Old Ayad,Béni Mellal,Béni Mellal,1,Béni Mellal,province,Ouled Yaïch,0.632,Oulad Ayad,0.889,Fquih Ben Salah,68.92573900504686
588,Od Teima,Taroudant,Taroudant,1,Taroudant,province,Oulad Berhil,0.5,Ouled Teima,0.842,Inezgane-Aït Melloul,68.99783705839943
589,Od Rahou Benaissa,Nador,Nador,1,Nador,province,Beni Ansar,0.444,Sidi Ahmed Benaissa,0.722,Ouezzane,69.06993511175199
590,Od Malrk,Sidi Kacem,Sidi Kacem,1,Sidi Kacem,province,Oulad Nouel,0.421,Oulad M'Barek,0.667,Béni Mellal,69.14203316510454
591,Od Kasaba,Taounate,Taounate,1,Taounate,province,Oudka,0.571,Ouled Aissa,0.6,Taroudant,69.2141312184571
592,Od Illoul,Béni Mellal,Béni Mellal,1,Béni Mellal,province,Timoulilt,0.444,Oulad Imloul,0.762,El Kelâa des Sraghna,69.28622927180966
593,Od Ghalem,Settat,Settat,1,Settat,province,Toualet,0.5,Ouled Ghanem,0.762,Sidi Bennour,69.35832732516222
594,Od Bouchour,Settat,Settat,1,Settat,province,Oulad Abbou,0.545,Bouhlou,0.667,Taza,69.43042537851478
595,Od Belhcen,Larache,Larache,1,Larache,province,Moulay Bousselham,0.444,Ain Lahcen,0.6,Tétouan,69.50252343186735
596,Od Belahcen,Larache,Larache,1,Larache,province,Souaken,0.444,Ain Lahcen,0.667,Tétouan,69.5746214852199
597,"O, Daoud",Taounate,Taounate,1,Taounate,province,Oulad Daoud,0.737,Oulad Daoud,0.737,Taounate,69.64671953857246
598,O S B,Al Haouz,Al Haouz,1,Al Haouz,province,Sidi Badhaj,0.375,Oulad Sbih,0.533,El Kelâa des Sraghna,69.71881759192502
599,O Akalay,Taroudant,Taroudant,1,Taroudant,province,Oualqadi,0.5,Saadla,0.571,Safi,69.79091564527758
600,"N°80,Lot Almostakbal,Bloc3",Inezgane-Aït Melloul,Inezgane-Aït Melloul,1,Inezgane-Aït Melloul,province,Ait Melloul,0.167,Talmakante,0.4,Taroudant,69.86301369863014
601,"N°39,Akniss",Taroudant,Taroudant,1,Taroudant,province,Lakhnafif,0.421,Lakhsas,0.471,Tiznit,69.9351117519827
602,"N°20, Rue 958,Hay Salam",Agadir-Ida Ou Tanane,Agadir-Ida Ou Tanane,1,Agadir-Ida Ou Tanane,province,Ait Aissi Ihahane,0.256,Oulad Slama,0.424,Kénitra,70.00720980533525
603,Ouadelabid,Azilal,Azilal,1,Azilal,province,Ouaoula,0.588,Bouadel,0.706,Taounate,70.07930785868781
604,Ouad elabid,Azilal,Azilal,1,Azilal,province,Ouaoula,0.556,Oulad Saïd,0.762,Settat,70.15140591204037
605,Ouad Almakhazine,Kénitra,Kénitra,1,Kénitra,province,Oulad Slama,0.593,Oued El Makhazine,0.848,Ouezzane,70.22350396539294
606,Ouaadia,Al Hoceïma,Al Hoceïma,1,Al Hoceïma,province,Rouadi,0.769,Oualqadi,0.8,Taroudant,70.2956020187455
607,Bensheikh,Al Haouz,Al Haouz,1,Al Haouz,province,Ouneine,0.375,Beni Chiker,0.6,Nador,70.36770007209806
608,Bensergao,Azilal,Azilal,1,Azilal,province,Demnate,0.375,El Kansera,0.632,Khemisset,70.43979812545061
609,Beni-Ounjel,Taounate,Taounate,1,Taounate,province,Bni Oulid,0.7,Bni Oual,0.737,Ouezzane,70.51189617880317
610,Beni-Kissane,Taounate,Taounate,1,Taounate,province,Kissane,0.737,Bni Hassane,0.783,Azilal,70.58399423215573
611,Beni guerfet,Larache,Larache,1,Larache,province,Bni Garfett,0.783,Bni Garfett,0.783,Larache,70.6560922855083
612,Beni Saden,Sefrou,Sefrou,1,Sefrou,province,Bir Tamtam,0.4,Bni Said,0.778,Tétouan,70.72819033886086
613,Beni Meraaz,Meknès,Meknès,1,Meknès,province,Ait Yaazem,0.476,Beni Mellal,0.727,Béni Mellal,70.8002883922134
614,Beni Maraaz,Meknès,Meknès,1,Meknès,province,Nzala Bni Ammar,0.538,Bni Mathar,0.667,Jerada,70.87238644556597
615,Beni Makada,Larache,Larache,1,Larache,province,Bni Garfett,0.455,Beni Malek,0.762,Ouezzane,70.94448449891853
616,Bengrir,El Kelâa des Sraghna,El Kelâa des Sraghna,1,El Kelâa des Sraghna,province,Errafiaya,0.375,Ben Guerir,0.824,Rehamna,71.01658255227109
617,Bendib,Sidi Slimane,Sidi Slimane,1,Sidi Slimane,province,Kceibya,0.462,Ben Taïeb,0.667,Driouch,71.08868060562365
618,Old Bader,Ouezzane,Ouezzane,1,Ouezzane,province,Moulay Abdelkader,0.538,Oulad Berhil,0.667,Taroudant,71.16077865897621
619,Ouled Jarrar,Tiznit,Tiznit,1,Tiznit,province,Ouijjane,0.4,Oulad Zarrad,0.75,El Kelâa des Sraghna,71.23287671232876
620,Ouled Hammou,Fquih Ben Salah,Fquih Ben Salah,1,Fquih Ben Salah,province,Ouled Bourahmoune,0.69,Oued Laou,0.762,Tétouan,71.30497476568132
621,Oulad-Taher,Taounate,Taounate,1,Taounate,province,Oulad Daoud,0.636,Oulad Amer,0.857,El Kelâa des Sraghna,71.37707281903388
622,"Oulad-Kadour,",Taounate,Taounate,1,Taounate,province,Oulad Daoud,0.75,Oulad Mkoudou,0.769,Sefrou,71.44917087238645
623,Oulad-Boundar,Taounate,Taounate,1,Taounate,province,Oulad Daoud,0.75,Oulad Moumna,0.8,Chichaoua,71.52126892573901
624,Oulad allal,Meknès,Meknès,1,Meknès,province,Ait Ouallal,0.636,Oulad Salah,0.818,Nouaceur,71.59336697909157
625,Oulad Tahar,Taounate,Taounate,1,Taounate,province,Oulad Daoud,0.636,Oulad Amghar,0.87,Al Hoceïma,71.66546503244412
626,Oulad Jerrar,Tiznit,Tiznit,1,Tiznit,province,Ait Erkha,0.476,Oulad Zarrad,0.75,El Kelâa des Sraghna,71.73756308579668
627,Oulaayoune,Essaouira,Essaouira,1,Essaouira,province,Moulay Bouzarqtoune,0.621,Laâyoune,0.889,Laâyoune,71.80966113914924
628,Ouidane,El Kelâa des Sraghna,El Kelâa des Sraghna,1,El Kelâa des Sraghna,province,Taouzint,0.533,Al Ouidane,0.824,Marrakech,71.8817591925018
629,Oughroud,Tinghir,Tinghir,1,Tinghir,province,Bou Azmou,0.471,Bouhouda,0.75,Taounate,71.95385724585437
630,Oued laabid,Azilal,Azilal,1,Azilal,province,Agoudi N'Lkhair,0.538,Oued Naam,0.7,Errachidia,72.02595529920693
631,Oued kassaba,Taounate,Taounate,1,Taounate,province,Oued Jemaa,0.636,Ouled Aissa,0.783,Taroudant,72.09805335255948
632,Oued kasaba,Taounate,Taounate,1,Taounate,province,Oued Jemaa,0.667,Ouled Aissa,0.727,Taroudant,72.17015140591204
633,Oued Lahmer,Taza,Taza,1,Taza,province,Oued Amlil,0.571,Oued Lakhdar,0.783,El Kelâa des Sraghna,72.2422494592646
634,Ouald Rahou,Guercif,Guercif,1,Guercif,province,Houara Oulad Raho,0.714,Oulad Dahou,0.818,Inezgane-Aït Melloul,72.31434751261716
635,Oum Rabii,Meknès,Meknès,1,Meknès,province,Oualili,0.625,Oum Rabia,0.889,Khénifra,72.38644556596972
636,Oulkadi,Al Haouz,Al Haouz,1,Al Haouz,province,Ourika,0.615,Oualqadi,0.8,Taroudant,72.45854361932228
637,Ouled jameâ,Moulay Yacoub,Moulay Yacoub,1,Moulay Yacoub,province,Oulad Mimoun,0.522,Oulad Amer,0.762,El Kelâa des Sraghna,72.53064167267483
638,Ben Zit,Marrakech,Marrakech,1,Marrakech,province,Jbilate,0.286,Bni Zoli,0.667,Zagora,72.6027397260274
639,Ben Tayeb,Nador,Nador,1,Nador,province,Beni Ansar,0.526,Ben Taïeb,0.889,Driouch,72.67483777937996
640,Ben Charrou,Béni Mellal,Béni Mellal,1,Béni Mellal,province,Bni Bataou,0.571,Ben Maachou,0.727,El Jadida,72.74693583273252
641,Ben CHEIKH,Al Haouz,Al Haouz,1,Al Haouz,province,Ouneine,0.353,Beni Chiker,0.762,Nador,72.81903388608508
642,Becheine,Taza,Taza,1,Taza,province,Barkine,0.533,Bouchaouene,0.632,Guercif,72.89113193943764
643,Baracca,Ouarzazate,Ouarzazate,1,Ouarzazate,province,Afra,0.545,Brachoua,0.667,Skhirate-Témara,72.96322999279019
644,Baraacca,Taza,Taza,1,Taza,province,Jbarna,0.571,Brachoua,0.5,Skhirate-Témara,73.03532804614275
645,Bani sadden,Sefrou,Sefrou,1,Sefrou,province,Aït Seghrouchen,0.462,Bni Said,0.737,Tétouan,73.10742609949531
646,Bab tété,Ouarzazate,Ouarzazate,1,Ouarzazate,province,Télouet,0.4,Bab Berred,0.667,Chefchaouen,73.17952415284788
647,Bab ramla,Taza,Taza,1,Taza,province,Bab Marzouka,0.571,Bab Taza,0.706,Chefchaouen,73.25162220620044
648,Bab Mrouje,Taza,Taza,1,Taza,province,Bab Marzouka,0.727,Bab Marzouka,0.727,Taza,73.32372025955299
649,Ouled aarfa,Taroudant,Taroudant,1,Taroudant,province,Ouled Aissa,0.727,Oulad Aarrad,0.783,El Kelâa des Sraghna,73.39581831290555
650,Ouled Jirar,Tiznit,Tiznit,1,Tiznit,province,Ouijjane,0.316,Oued Jdida,0.762,Meknès,73.46791636625811
651,Remla,Larache,Larache,1,Larache,province,Khemis Sahel,0.353,Ermila,0.727,Boulemane,73.54001441961067
652,Rbat El khier,Sefrou,Sefrou,1,Sefrou,province,Dar El Hamra,0.56,Rbaa El Fouki,0.692,Taza,73.61211247296323
653,Ras brouj,Settat,Settat,1,Settat,province,Machraa Ben Abbou,0.462,Ras Tabouda,0.7,Sefrou,73.6842105263158
654,Ras Aghil,Sidi Kacem,Sidi Kacem,1,Sidi Kacem,province,Taoughilt,0.556,Ras Al Ain,0.632,Settat,73.75630857966834
655,Ras Aghil,Meknès,Meknès,1,Meknès,province,Ras Ijerri,0.526,Ras Al Ain,0.632,Settat,73.8284066330209
656,"R,Kheir",Sefrou,Sefrou,1,Sefrou,province,Kandar Sidi Khiar,0.417,Khenifra,0.667,Khénifra,73.90050468637347
657,R kheir,Sefrou,Sefrou,1,Sefrou,province,Kandar Sidi Khiar,0.5,Mers El Kheir,0.7,Skhirate-Témara,73.97260273972603
658,Quolla,Larache,Larache,1,Larache,province,Souk Tolba,0.5,Bni Quolla,0.75,Ouezzane,74.04470079307859
659,Quartier Benkirane,Béni Mellal,Béni Mellal,1,Béni Mellal,province,Bni Zrantel,0.414,Hassi Berkane,0.581,Nador,74.11679884643115
660,QUARTIER NAJMA RUE Espagne,Tanger-Assilah,Tanger-Assilah,1,Tanger-Assilah,province,Al Bahraoyine,0.256,Ait Naamane,0.486,El Hajeb,74.1888968997837
661,Q-Industriel,Agadir-Ida Ou Tanane,Agadir-Ida Ou Tanane,1,Agadir-Ida Ou Tanane,province,Aqesri,0.444,Tindine,0.526,Taroudant,74.26099495313626
662,Pres de lecole 6 novombre,Fès,Fès,1,Fès,province,Sidi Hrazem,0.167,Ras El Oued,0.222,Taounate,74.33309300648882
663,Ousikiss,Tinghir,Tinghir,1,Tinghir,province,Ouaklim,0.4,Boukhrisse,0.667,Béni Mellal,74.40519105984139
664,Ouriaa,Béni Mellal,Béni Mellal,1,Béni Mellal,province,Naour,0.545,Ourika,0.833,Al Haouz,74.47728911319395
665,Ourbâa,Béni Mellal,Béni Mellal,1,Béni Mellal,province,Naour,0.545,Ourdana,0.769,Driouch,74.54938716654651
666,Oum Rbie,Meknès,Meknès,1,Meknès,province,Ouislane,0.5,Oum Rabia,0.824,Khénifra,74.62148521989906
667,S A El Hadi,Sidi Kacem,Sidi Kacem,1,Sidi Kacem,province,Selfat,0.471,Sidi Ahmed El Khadir,0.71,El Kelâa des Sraghna,74.69358327325162
668,"Rue 516,Masdoura Inzgane",Inezgane-Aït Melloul,Inezgane-Aït Melloul,1,Inezgane-Aït Melloul,province,Inezgane,0.438,El Mansouria,0.5,Mohammedia,74.76568132660418
669,Rue 309 Hay Moulay Rachid,Taroudant,Taroudant,1,Taroudant,province,Oulad Berhil,0.432,Moulay Brahim,0.579,Al Haouz,74.83777937995674
670,BEN Maraaz,Meknès,Meknès,1,Meknès,province,Aïn Orma,0.444,El Marsa,0.667,Laâyoune,74.9098774333093
671,B/jbel,Nador,Nador,1,Nador,province,Bni Sidel Jbel,0.6,Jbiel,0.727,El Kelâa des Sraghna,74.98197548666187
672,B.sidel,Nador,Nador,1,Nador,province,Bni Sidel Jbel,0.571,Jbiel,0.667,El Kelâa des Sraghna,75.05407354001441
673,B.M,Béni Mellal,Béni Mellal,1,Béni Mellal,province,Beni Mellal,0.286,Boumia,0.444,Midelt,75.12617159336698
674,B.Louta,Nador,Nador,1,Nador,province,Bouarg,0.615,Louta,0.833,Al Hoceïma,75.19826964671954
675,B.Elain,Chefchaouen,Chefchaouen,1,Chefchaouen,province,Bni Selmane,0.556,Belfaa,0.615,Chtouka-Aït Baha,75.2703677000721
676,B.Bouchibat,Al Hoceïma,Al Hoceïma,1,Al Hoceïma,province,Boudinar,0.526,Bni Bouchibet,0.75,Taounate,75.34246575342466
677,B.Bchir,Al Hoceïma,Al Hoceïma,1,Al Hoceïma,province,Chakran,0.429,Beni Bechir,0.667,Taounate,75.41456380677722
678,"B,M",Béni Mellal,Béni Mellal,1,Béni Mellal,province,Beni Mellal,0.286,Boumia,0.444,Midelt,75.48666186012977
679,Ribat El kheir,Sefrou,Sefrou,1,Sefrou,province,Dar El Hamra,0.538,Mers El Kheir,0.741,Skhirate-Témara,75.55875991348233
680,Ribat El Kheir,Sefrou,Sefrou,1,Sefrou,province,Dar El Hamra,0.538,Mers El Kheir,0.741,Skhirate-Témara,75.6308579668349
681,Riad Kostani,Meknès,Meknès,1,Meknès,province,Dar Oum Soltane,0.519,Had Kourt,0.571,Ouezzane,75.70295602018746
682,Retba,Taounate,Taounate,1,Taounate,province,Ratba,0.8,Ratba,0.8,Taounate,75.77505407354002
683,Sabati,Fès,Fès,1,Fès,province,Louadaine,0.4,Rabat,0.727,Rabat,75.84715212689257
684,SI sidi yahya,Sidi Slimane,Sidi Slimane,1,Sidi Slimane,province,Sidi Al Kamel,0.538,Khemis Sidi Yahya,0.8,Khemisset,75.91925018024513
685,S;Mokhfi,Taounate,Taounate,1,Taounate,province,Sidi El Mokhfi,0.636,Sidi El Mokhfi,0.636,Taounate,75.99134823359769
686,S/Abdelah Cherif,Ouezzane,Ouezzane,1,Ouezzane,province,Sidi Ahmed Cherif,0.667,Sidi Ahmed Cherif,0.667,Ouezzane,76.06344628695025
687,S.Sebt,Béni Mellal,Béni Mellal,1,Béni Mellal,province,Semguet,0.462,Assebbab,0.571,Guercif,76.13554434030281
688,S.H.M'd,Taounate,Taounate,1,Taounate,province,Ras El Oued,0.333,M'Diq,0.5,M'diq-Fnideq,76.20764239365538
689,S.H. M'ed,Taounate,Taounate,1,Taounate,province,Sidi Haj M’hamed,0.5,Sidi Haj M’hamed,0.5,Taounate,76.27974044700792
690,S.Abderhma,Taounate,Taounate,1,Taounate,province,Jbabra,0.5,Sidi Abdelkrim,0.583,Berrechid,76.35183850036049
691,S.A.S,Essaouira,Essaouira,1,Essaouira,province,Meskala,0.333,Sfassif,0.5,Khemisset,76.42393655371305
692,S.A.Elhadi,Sidi Kacem,Sidi Kacem,1,Sidi Kacem,province,Selfat,0.5,Sahel Chamali,0.609,Larache,76.49603460706561
693,"S,Abder",Taounate,Taounate,1,Taounate,province,Jbabra,0.462,Sidi Jaber,0.588,Béni Mellal,76.56813266041817
694,"S,A,Ouhamed",Essaouira,Essaouira,1,Essaouira,province,Sidi H'Mad Ou Hamed,0.6,Bouhmame,0.632,Sidi Bennour,76.64023071377073
695,"S,A,Chrif",Sidi Kacem,Sidi Kacem,1,Sidi Kacem,province,Taoughilt,0.333,Oulad Chrif,0.6,Taza,76.71232876712328
696,"S,A,Benaissa",Sidi Kacem,Sidi Kacem,1,Sidi Kacem,province,Mkansa,0.444,Sidi Ahmed Benaissa,0.645,Ouezzane,76.78442682047584
697,S Y B A,Al Haouz,Al Haouz,1,Al Haouz,province,Sidi Badhaj,0.444,Sidi M'Bark,0.556,Sidi Ifni,76.8565248738284
698,S H O hamdtidzi,Essaouira,Essaouira,1,Essaouira,province,Sidi H'Mad Ou Hamed,0.588,Sidi H'Mad Ou Hamed,0.588,Essaouira,76.92862292718097
699,Sas,Essaouira,Essaouira,1,Essaouira,province,Meskala,0.4,Sfassif,0.6,Khemisset,77.00072098053353
700,Sarsar,Larache,Larache,1,Larache,province,Ksar Bjir,0.533,Smara,0.727,Es-Semara,77.07281903388609
701,Sanit Rmel,Tétouan,Tétouan,1,Tétouan,province,Sahtryine,0.421,Ait Ouribel,0.667,Khemisset,77.14491708723864
702,Samsa,Tétouan,Tétouan,1,Tétouan,province,Saddina,0.5,Sgamna,0.727,Khouribga,77.2170151405912
703,B' sabsa,Taounate,Taounate,1,Taounate,province,El Bsabsa,0.75,El Bsabsa,0.75,Taounate,77.28911319394376
704,B Sidel,Nador,Nador,1,Nador,province,Bni Sidel Jbel,0.667,Jbiel,0.667,El Kelâa des Sraghna,77.36121124729632
705,B K,Sidi Kacem,Sidi Kacem,1,Sidi Kacem,province,Bab Tiouka,0.462,N'Kob,0.5,Tinghir,77.43330930064889
706,Azou,Tinghir,Tinghir,1,Tinghir,province,Assoul,0.6,Azrou,0.889,Ifrane,77.50540735400145
707,Azlaf,Nador,Nador,1,Nador,province,Al Aroui,0.462,Azla,0.889,Tétouan,77.577505407354
708,Aychtoume,Taounate,Taounate,1,Taounate,province,Taounate,0.471,Chtouka,0.625,El Jadida,77.64960346070656
709,Attaouia Chaaibia,El Kelâa des Sraghna,El Kelâa des Sraghna,1,El Kelâa des Sraghna,province,Laattaouia Ech-Chaybia,0.769,Laattaouia Ech-Chaybia,0.769,El Kelâa des Sraghna,77.72170151405912
