rang,Commune,Province,n_cas,suggestion_meme_province,score_meme_province,suggestion_globale,score_globale,province_suggestion_globale,cumsum_pct,DECISION_HUMAINE
57,lekhmiss,Tinghir,10,Souk Lakhmis Dades,0.538,Khémisset,0.706,Khemisset,33.25601623659032,
58,Boujediane,Larache,10,Souaken,0.471,Bou Jedyane,0.857,Ouezzane,33.545955349376634,
59,Ourbiaa,Béni Mellal,10,Naour,0.5,Ourika,0.769,Al Haouz,33.83589446216295,
60,Neknafa,Essaouira,10,Meskala,0.571,Tekna,0.667,Sidi Kacem,34.12583357494926,
61,Bab Mrouj,Taza,10,Bab Marzouka,0.762,Bab Marzouka,0.762,Taza,34.415772687735576,
62,Ait guirte,Azilal,9,Ait Taguella,0.636,Ait Ourir,0.737,Marrakech,34.67671788924326,
63,Kansara,Moulay Yacoub,9,Laajajra,0.533,Mkansa,0.769,Sidi Kacem,34.937663090750945,
64,Lakhemis,Tinghir,9,Souk Lakhmis Dades,0.538,Khémisset,0.706,Khemisset,35.198608292258626,
65,Tisi ousli,Taza,9,Oued Amlil,0.4,Tizi Ouzli,0.8,Driouch,35.45955349376631,
66,Bouzmlne,Taza,9,Bouyablane,0.667,Boulemane,0.706,Boulemane,35.720498695273996,
67,Ain Doreij,Ouezzane,9,Ain Dfali,0.632,Aïn Orma,0.667,Meknès,35.98144389678168,
68,tassouite,Tinghir,9,Assoul,0.667,Tassousfi,0.778,Tata,36.24238909828936,
69,Amsa,Tétouan,9,Azla,0.5,Assa,0.75,Assa-Zag,36.50333429979704,
70,"B,Oulid",Taounate,9,Bni Oulid,0.75,Bni Oulid,0.75,Taounate,36.76427950130473,
71,Mesker,Sidi Kacem,9,Sidi Kacem,0.125,Meskoura,0.714,Khouribga,37.02522470281241,
72,Beni hassen,Azilal,8,Bni Hassane,0.818,Bni Hassane,0.818,Azilal,37.257175993041464,
73,S K,Sidi Kacem,8,Sidi Kacem,0.462,Saka,0.571,Guercif,37.48912728327051,
74,Sahraoua,Sidi Kacem,8,Bab Tiouka,0.444,Maghraoua,0.824,Taza,37.72107857349957,
75,Taouloklot,Chichaoua,8,Taouloukoult,0.818,Taouloukoult,0.818,Chichaoua,37.95302986372862,
76,"Od, Naceur",Fquih Ben Salah,8,Oulad Nacer,0.762,Oulad Nacer,0.762,Fquih Ben Salah,38.18498115395767,
77,Assg,Tinghir,8,Assoul,0.6,Assa,0.75,Assa-Zag,38.41693244418672,
78,Daour Jdid,Fquih Ben Salah,8,Dar Oulad Zidouh,0.538,Oued Jdida,0.7,Meknès,38.648883734415776,
79,Ait Idir,Tinghir,8,Aït Hani,0.625,Ait Said,0.75,Essaouira,38.880835024644824,
80,Ouad Elbour,Chichaoua,8,Oued L'Bour,0.818,Oued L'Bour,0.818,Chichaoua,39.11278631487388,
81,Tizqui,Azilal,8,Tisqi,0.727,Tisqi,0.727,Azilal,39.34473760510293,
82,Zaouia,Sidi Kacem,8,Zaggota,0.615,Mzoudia,0.769,Chichaoua,39.57668889533198,
83,El Kelaa,El Kelâa des Sraghna,8,El Aamria,0.588,Hel Merbaa,0.667,Fquih Ben Salah,39.80864018556103,
84,Ighilnoumgoune,Tinghir,7,Ikniouen,0.455,Ighil N'Oumgoun,0.897,Azilal,40.011597564511455,
85,Hsseya,Tinghir,7,Toudgha Essoufla,0.364,H'Ssyia,0.769,Zagora,40.21455494346187,
86,Lakhmiss Dadès,Ouarzazate,7,Ghassate,0.455,Souk Lakhmis Dades,0.812,Tinghir,40.41751232241229,
87,Menara,Al Haouz,7,Amghras,0.462,Mnasra,0.833,Kénitra,40.620469701362715,
88,ait yassine,Tinghir,7,Ait Ouassif,0.727,Ait Yadine,0.857,Khemisset,40.82342708031313,
89,"Q,militaire",Taza,7,Msila,0.5,Mzilate,0.556,Chichaoua,41.026384459263554,
90,hanchan,Essaouira,7,El Hanchane,0.778,El Hanchane,0.778,Essaouira,41.229341838213976,
91,Chtioui,Fquih Ben Salah,7,Bni Oukil,0.5,Tiouli,0.769,Jerada,41.4322992171644,
