modele,R2,MAE,RMSE,Spearman
GBM seul,0.5438854571055465,0.22532148286859965,0.6833036767273376,0.2435940309262911
PINN seul,0.3178763857444129,0.38031288236093225,0.8356190649837688,0.22395697792676858
Ensemble (Ridge non-negatif),0.5868083198845275,0.1355317324975604,0.6503581422601257,0.27983812374097344
