province,region,n_communes,lct_cases,evidence_type,psi_mean,psi_sd,psi_q05,psi_q50,psi_q95
Inezgane-Aït Melloul,Souss-Massa,18,12,epi_only,0.8329174038944624,0.12810338306753374,0.583779040386512,0.8600868825572472,0.9832988727044257
Tiznit,Souss-Massa,26,18,epi_only,0.8312995180745897,0.12866043214882059,0.5836913040952102,0.8553944324372265,0.9829121066875358
Errachidia,Drâa-Tafilalet,32,26,unverified_capture,0.8277223637103901,0.13898222883429845,0.5579232000366102,0.8629022065919512,0.9850962606415529
Figuig,Oriental,6,0,no_data_gap,0.8247261383333415,0.1807475636236752,0.43965455256954306,0.887124305493781,0.9883689601643834
Tata,Souss-Massa,25,3,unverified_capture,0.7934991596845374,0.1390396265516347,0.5304367822555873,0.8154559356860385,0.9764927748894747
Sidi Ifni,Guelmim-Oued Noun,9,0,no_data_gap,0.7696502588350088,0.17685504088858592,0.4072300745858193,0.8105399627657429,0.9755402520863213
Guelmim,Guelmim-Oued Noun,17,15,epi_only,0.7425633410146062,0.1682565894341922,0.4357559198428661,0.7624970449286798,0.9704074120474898
Zagora,Drâa-Tafilalet,21,3,confirmed_capture,0.7031647612980245,0.20539890804099872,0.31525951633785304,0.7373414291105387,0.9756339679585515
Tan-Tan,Guelmim-Oued Noun,9,0,no_data_gap,0.5998659035267804,0.23387411488035492,0.18291783945476767,0.61490730335322,0.9549840085620919
Tarfaya,Laâyoune-Sakia El Hamra,3,0,no_data_gap,0.512710569990737,0.2445312782807292,0.1185531545480713,0.5066214054468092,0.9395378223009818
Assa-Zag,Guelmim-Oued Noun,12,0,no_data_gap,0.5085584267589301,0.2532875013553099,0.1038108945692072,0.5006676092878983,0.9377848230226878
Laâyoune,Laâyoune-Sakia El Hamra,5,0,no_data_gap,0.46375117512194913,0.2583405887298428,0.08313464359456797,0.4330192444216875,0.9389896370895335
Es-Semara,Laâyoune-Sakia El Hamra,6,0,no_data_gap,0.4263851941152405,0.2647383456947106,0.062039155824586925,0.3882217111830592,0.9270949272075261
Boujdour,Laâyoune-Sakia El Hamra,4,0,no_data_gap,0.36494245566812383,0.2745633806421906,0.03132314742033282,0.3031166141529053,0.9258152278722227
Oued Ed-Dahab,Dakhla-Oued Ed-Dahab,5,0,no_data_gap,0.017607165358253938,0.07901516685193721,1.0414388057544087e-36,9.156335444970664e-09,0.08517287455345508
Aousserd,Dakhla-Oued Ed-Dahab,7,0,no_data_gap,0.016617997686337548,0.07862154098169125,7.176309405440031e-37,7.607028580780365e-09,0.07505358018607013
